epoch,training_acc,training_loss
0,94.95,762.19
1,97.04,701.32
2,98.26,696.24
3,98.23,693.98
4,98.65,692.79
5,98.62,691.83
6,98.9,691.31
7,99.03,690.29
8,99.03,689.91
9,99.14,689.71
10,99.09,689.49
11,98.54,689.21
12,99.15,688.75
13,99.08,688.31
14,98.98,688.39
15,99.19,688.17
16,99.39,687.96
17,99.18,687.8
18,99.25,688.0
19,99.36,687.79
20,99.19,687.83
21,99.33,687.7
22,99.27,687.49
23,99.19,687.18
24,99.04,687.41
25,99.25,687.32
26,99.16,687.12
27,99.34,687.26
28,99.23,687.31
29,99.25,686.96
30,99.29,686.75
31,99.33,686.94
32,99.48,686.7
33,99.12,687.05
34,99.19,687.32
35,99.27,687.1
36,99.38,687.14
37,99.3,687.16
38,99.34,686.88
39,99.39,686.77
