epoch,training_acc,training_loss
0,95.89,755.46
1,97.01,701.71
2,98.01,696.14
3,98.55,693.71
4,98.69,692.31
5,98.73,691.38
6,98.52,690.89
7,99.15,690.05
8,98.86,689.8
9,99.18,689.36
10,99.2,688.95
11,99.05,688.53
12,99.12,688.24
13,98.9,688.38
14,99.29,688.24
15,99.11,687.89
16,99.23,687.83
17,99.22,687.86
18,99.15,688.02
19,99.29,687.66
20,99.4,687.42
21,99.34,687.41
22,99.21,687.47
23,99.02,687.5
24,99.31,687.61
25,99.36,687.2
26,99.18,686.96
27,99.38,687.12
28,99.23,687.16
29,99.29,687.01
30,99.14,687.18
31,99.17,687.23
32,99.23,687.47
33,99.35,687.67
34,98.88,687.21
35,99.42,686.98
36,99.46,687.05
37,99.08,687.1
38,99.28,686.79
39,99.4,687.26
