epoch,training_acc,training_loss
0,95.41,762.35
1,97.73,700.23
2,97.79,695.33
3,98.33,693.16
4,98.66,692.16
5,98.68,691.25
6,99.03,690.55
7,98.99,690.01
8,99.15,689.45
9,99.01,688.74
10,98.97,689.54
11,99.15,688.57
12,99.34,688.52
13,99.25,688.07
14,99.13,688.08
15,99.27,688.03
16,99.12,687.93
17,99.25,687.96
18,99.31,687.81
19,99.2,687.67
20,99.46,687.55
21,99.05,687.64
22,99.38,687.28
23,99.31,687.29
24,99.22,687.15
25,99.14,687.58
26,99.41,687.14
27,99.38,686.92
28,99.39,687.52
29,99.39,687.15
30,99.28,687.25
31,99.42,686.88
32,99.02,687.08
33,99.16,687.16
34,98.93,687.81
35,99.39,687.07
36,99.27,686.93
37,98.96,687.06
38,99.31,686.96
39,98.96,686.84
