epoch,training_acc,training_loss
0,86.49,786.5
1,97.46,704.94
2,97.8,696.39
3,98.42,693.58
4,98.66,692.44
5,98.87,691.66
6,98.83,690.58
7,98.91,690.36
8,98.8,689.61
9,99.25,689.03
10,99.1,689.3
11,98.82,688.89
12,99.25,688.43
13,99.21,688.24
14,99.22,688.2
15,99.18,688.22
16,99.36,687.94
17,99.3,687.84
18,99.38,688.05
19,99.17,687.61
20,99.1,687.78
21,99.41,687.64
22,99.48,687.36
23,99.27,687.1
24,99.21,686.86
25,99.23,687.33
26,99.17,687.23
27,99.28,687.29
28,99.35,687.26
29,99.39,686.8
30,99.21,687.07
31,99.38,686.84
32,99.45,686.8
33,99.25,686.98
34,99.3,687.06
35,99.13,687.25
36,99.37,687.22
37,99.17,686.77
38,99.32,687.01
39,99.41,687.21
