epoch,training_acc,training_loss
0,95.69,764.84
1,97.46,701.29
2,97.97,695.66
3,97.83,693.59
4,98.83,692.07
5,98.54,691.09
6,99.09,690.41
7,98.98,690.01
8,98.92,689.81
9,98.9,689.19
10,99.14,688.78
11,99.2,688.49
12,99.06,688.48
13,99.45,688.57
14,99.3,688.13
15,99.18,688.09
16,99.34,687.61
17,99.4,687.69
18,99.37,687.37
19,99.39,687.35
20,99.1,687.48
21,99.3,687.17
22,99.09,687.27
23,99.34,687.26
24,99.27,686.81
25,99.39,687.24
26,99.34,687.07
27,99.37,686.74
28,99.44,686.93
29,99.41,686.83
30,99.44,686.86
31,99.05,687.12
32,99.47,686.75
33,99.46,686.64
34,99.41,687.3
35,99.32,687.46
36,99.48,686.9
37,99.19,686.79
38,99.15,686.86
39,99.3,687.07
