epoch,training_acc,training_loss
0,96.3,762.35
1,97.11,699.88
2,97.9,695.29
3,98.56,693.57
4,98.58,692.27
5,98.94,691.4
6,98.96,690.45
7,98.74,689.98
8,99.07,689.46
9,99.1,689.17
10,99.03,688.97
11,98.98,688.89
12,99.24,688.19
13,99.33,688.23
14,99.18,688.01
15,99.39,687.99
16,99.4,687.72
17,99.3,687.84
18,99.46,687.74
19,99.3,687.33
20,99.37,687.39
21,99.25,687.13
22,99.33,687.77
23,99.45,687.28
24,99.38,687.58
25,99.45,687.07
26,99.28,687.19
27,99.29,686.98
28,99.41,687.19
29,99.57,686.81
30,99.46,687.06
31,99.34,686.88
32,99.17,686.88
33,99.24,687.26
34,99.32,686.79
35,99.27,687.15
36,99.19,687.25
37,99.0,686.69
38,99.26,687.18
39,99.28,687.02
