epoch,training_acc,training_loss,L2
0,4.54,1793.56,860.0
1,5.66,1785.19,871.0
2,6.9,1781.48,881.0
3,7.06,1777.69,890.0
4,8.06,1774.86,900.0
5,8.91,1772.76,909.0
6,8.52,1770.5,918.0
7,8.81,1768.87,927.0
8,10.09,1766.88,935.0
9,9.96,1765.16,943.0
10,9.91,1763.44,951.0
11,10.82,1762.34,959.0
12,11.11,1760.51,967.0
13,11.17,1758.95,975.0
14,11.51,1757.77,983.0
15,11.71,1755.7,990.0
16,11.83,1754.33,999.0
17,12.37,1753.13,1006.0
18,11.52,1751.74,1014.0
19,12.45,1750.2,1021.0
20,12.64,1748.96,1029.0
21,13.3,1747.55,1037.0
22,13.02,1745.78,1044.0
23,12.7,1744.52,1052.0
24,13.45,1743.52,1059.0
25,13.6,1742.56,1066.0
26,14.01,1740.74,1074.0
27,13.9,1739.86,1081.0
28,13.78,1738.44,1089.0
29,13.97,1736.72,1097.0
30,13.86,1735.2,1104.0
31,14.45,1733.99,1112.0
32,14.03,1733.17,1119.0
33,14.49,1731.14,1126.0
34,14.64,1730.11,1134.0
35,14.93,1728.89,1141.0
36,14.47,1727.75,1149.0
37,14.57,1726.85,1156.0
38,15.05,1725.58,1163.0
39,14.88,1724.76,1171.0
40,14.83,1723.54,1178.0
41,15.04,1722.29,1185.0
42,14.86,1721.47,1193.0
43,14.98,1719.87,1200.0
44,14.95,1719.11,1207.0
45,15.12,1717.84,1214.0
46,15.21,1717.06,1221.0
47,14.93,1716.9,1228.0
48,15.48,1715.64,1235.0
49,15.5,1715.08,1241.0
50,15.58,1713.93,1248.0
51,15.1,1713.63,1255.0
52,15.51,1712.75,1261.0
53,15.55,1712.02,1268.0
54,15.23,1711.33,1274.0
55,15.31,1710.33,1280.0
56,15.73,1709.75,1287.0
57,15.66,1709.07,1293.0
58,15.29,1708.86,1300.0
59,15.64,1707.71,1306.0
60,15.78,1707.73,1312.0
61,15.54,1707.27,1318.0
62,15.82,1706.79,1324.0
63,16.07,1705.54,1330.0
64,15.63,1705.28,1336.0
65,16.05,1705.03,1342.0
66,16.13,1704.39,1348.0
67,15.92,1703.98,1354.0
68,15.98,1703.62,1360.0
69,16.02,1703.01,1366.0
70,15.99,1702.85,1371.0
71,15.96,1702.09,1378.0
72,15.92,1701.98,1383.0
73,16.09,1701.22,1389.0
74,16.07,1700.8,1395.0
75,16.2,1700.59,1401.0
76,15.98,1700.04,1406.0
77,16.18,1699.79,1412.0
78,15.76,1698.95,1417.0
79,15.85,1699.08,1423.0
80,15.74,1698.37,1428.0
81,16.34,1698.36,1433.0
82,15.96,1698.1,1439.0
83,16.25,1697.5,1444.0
84,16.49,1697.4,1449.0
85,16.23,1696.78,1454.0
86,16.57,1696.48,1460.0
87,15.86,1696.32,1465.0
88,16.44,1695.95,1470.0
89,16.24,1695.32,1475.0
90,16.52,1695.49,1481.0
91,16.65,1694.74,1486.0
92,16.47,1694.42,1491.0
93,16.39,1693.58,1496.0
94,16.3,1693.56,1501.0
95,16.78,1693.07,1506.0
96,16.89,1692.76,1511.0
97,16.59,1692.37,1516.0
98,16.47,1691.84,1522.0
99,16.86,1691.58,1526.0
