epoch,training_acc,training_loss,L2
0,3.91,1794.38,864.0
1,5.4,1785.93,879.0
2,7.37,1780.79,890.0
3,7.77,1777.98,899.0
4,8.25,1775.8,907.0
5,8.13,1773.78,915.0
6,8.43,1772.25,923.0
7,9.31,1770.54,932.0
8,9.94,1769.22,940.0
9,9.4,1767.11,948.0
10,10.05,1766.19,956.0
11,10.49,1765.0,963.0
12,10.42,1763.25,970.0
13,11.21,1762.23,978.0
14,10.9,1761.11,985.0
15,11.55,1759.95,993.0
16,10.84,1758.74,1001.0
17,11.75,1758.13,1009.0
18,11.7,1756.36,1016.0
19,11.53,1755.07,1024.0
20,11.77,1754.1,1032.0
21,12.08,1752.91,1040.0
22,12.29,1752.03,1048.0
23,12.06,1750.24,1056.0
24,12.98,1748.78,1063.0
25,12.06,1748.05,1071.0
26,12.92,1746.6,1079.0
27,13.29,1745.63,1087.0
28,12.87,1744.1,1095.0
29,13.51,1743.1,1102.0
30,13.26,1742.16,1110.0
31,13.37,1740.68,1118.0
32,13.98,1739.39,1125.0
33,13.8,1738.63,1133.0
34,14.08,1737.16,1141.0
35,13.82,1735.94,1148.0
36,13.91,1734.99,1156.0
37,14.43,1734.05,1163.0
38,14.31,1732.68,1171.0
39,14.5,1731.54,1178.0
40,14.24,1730.88,1186.0
41,14.47,1729.81,1194.0
42,14.38,1729.15,1201.0
43,14.62,1727.88,1208.0
44,14.83,1727.31,1215.0
45,14.1,1726.0,1223.0
46,14.78,1725.59,1230.0
47,14.74,1724.09,1237.0
48,14.21,1723.14,1244.0
49,14.77,1722.28,1252.0
50,15.22,1721.56,1259.0
51,14.79,1720.32,1265.0
52,15.03,1719.99,1272.0
53,15.05,1719.37,1279.0
54,15.33,1718.58,1286.0
55,15.47,1718.22,1293.0
56,14.75,1717.11,1299.0
57,15.26,1716.8,1306.0
58,15.55,1716.69,1313.0
59,14.77,1715.7,1319.0
60,15.36,1714.74,1325.0
61,15.22,1714.49,1332.0
62,15.47,1713.95,1338.0
63,15.37,1713.04,1344.0
64,15.69,1712.5,1350.0
65,15.61,1711.89,1357.0
66,15.42,1711.28,1363.0
67,15.49,1711.05,1369.0
68,15.71,1710.14,1375.0
69,15.47,1709.42,1381.0
70,15.75,1709.2,1387.0
71,15.36,1708.65,1393.0
72,15.52,1708.5,1399.0
73,15.91,1707.72,1405.0
74,15.46,1707.41,1411.0
75,15.81,1706.37,1417.0
76,15.67,1706.22,1423.0
77,15.52,1705.75,1428.0
78,15.69,1705.66,1434.0
79,15.75,1704.76,1440.0
80,15.85,1704.89,1445.0
81,16.0,1704.06,1451.0
82,15.73,1704.2,1457.0
83,15.84,1703.29,1463.0
84,15.61,1703.32,1468.0
85,15.77,1702.67,1474.0
86,15.61,1702.54,1479.0
87,15.89,1702.06,1485.0
88,15.71,1701.73,1490.0
89,16.09,1701.32,1496.0
90,15.7,1701.22,1502.0
91,15.41,1700.8,1507.0
92,15.98,1700.58,1512.0
93,15.9,1700.1,1517.0
94,16.09,1699.49,1522.0
95,15.86,1699.48,1527.0
96,15.75,1699.22,1533.0
97,15.67,1699.04,1538.0
98,15.94,1699.09,1543.0
99,16.1,1698.5,1548.0
