epoch,training_acc,training_loss
0,38.77,836.94
1,42.18,793.7
2,49.34,775.45
3,51.06,762.47
4,52.85,751.99
5,54.49,742.6
6,57.13,733.95
7,58.16,726.09
8,60.63,718.18
9,60.13,711.28
10,62.55,704.01
11,57.76,697.31
12,63.0,690.87
13,63.1,684.86
14,59.81,678.66
15,66.63,673.18
16,66.1,667.41
17,67.95,662.08
18,66.77,656.67
19,64.18,651.94
20,68.78,647.25
21,68.82,643.28
22,68.83,638.29
23,70.12,635.44
24,69.6,631.99
25,70.18,628.98
26,70.55,626.44
27,70.59,624.25
28,69.92,622.62
29,70.24,620.58
30,70.68,618.72
31,68.37,617.06
32,70.38,615.88
33,70.73,614.33
34,71.12,613.16
35,70.98,612.34
36,70.41,610.99
37,71.18,609.99
38,71.27,608.96
39,67.95,608.17
