epoch,training_acc,training_loss
0,37.5,835.87
1,44.75,796.26
2,48.75,778.4
3,51.19,763.7
4,51.58,752.26
5,54.62,742.67
6,57.66,734.17
7,58.65,726.29
8,59.29,718.21
9,61.18,711.03
10,62.26,703.92
11,63.45,696.88
12,63.2,690.3
13,63.82,683.4
14,64.31,677.36
15,64.89,672.14
16,64.87,665.67
17,64.12,660.99
18,66.66,655.18
19,66.22,650.57
20,66.2,646.55
21,65.61,642.25
22,67.77,638.05
23,68.3,635.64
24,67.83,632.54
25,68.72,630.13
26,69.09,626.85
27,68.24,624.98
28,69.26,622.93
29,68.79,621.2
30,69.08,619.05
31,69.31,617.88
32,69.72,616.22
33,69.59,615.55
34,68.75,614.03
35,68.9,612.89
36,68.98,611.72
37,69.16,610.83
38,70.19,610.24
39,69.45,609.46
