epoch,training_acc,training_loss
0,41.04,830.95
1,44.82,792.11
2,46.41,775.14
3,51.56,760.94
4,52.67,749.18
5,56.22,738.38
6,57.36,729.42
7,60.53,720.81
8,58.64,713.1
9,59.17,705.07
10,62.01,698.22
11,64.33,691.64
12,66.12,684.86
13,66.45,678.74
14,65.8,673.19
15,67.65,667.8
16,67.45,662.04
17,68.85,656.8
18,63.61,651.9
19,69.01,647.29
20,68.12,643.32
21,65.77,638.97
22,69.99,635.32
23,69.31,631.77
24,70.55,629.07
25,70.7,625.41
26,69.95,622.95
27,71.31,620.58
28,71.9,618.96
29,70.73,617.16
30,71.66,615.01
31,71.88,614.22
32,72.22,612.26
33,72.22,610.89
34,71.46,610.25
35,70.11,608.94
36,70.06,608.45
37,72.15,607.08
38,70.57,606.22
39,72.98,605.35
