epoch,training_acc,training_loss
0,38.96,840.71
1,44.92,798.43
2,47.94,779.75
3,51.37,765.33
4,52.07,754.52
5,54.76,746.6
6,54.6,738.04
7,55.78,730.51
8,53.31,723.75
9,60.15,716.35
10,60.76,710.35
11,59.54,704.03
12,62.8,697.67
13,62.03,691.75
14,64.47,686.1
15,57.18,679.77
16,64.81,674.65
17,65.88,669.63
18,65.29,664.96
19,65.56,659.71
20,66.46,655.26
21,67.13,650.69
22,67.56,647.03
23,68.23,642.4
24,64.04,639.51
25,67.42,636.14
26,67.08,633.23
27,68.57,630.49
28,68.39,627.61
29,68.08,626.15
30,68.65,624.15
31,66.1,621.86
32,69.43,620.43
33,69.52,619.34
34,69.35,617.71
35,70.55,615.8
36,69.37,615.31
37,68.8,614.07
38,68.49,613.34
39,69.86,612.52
