epoch,training_acc,training_loss
0,39.21,836.28
1,43.46,798.54
2,45.35,782.37
3,50.44,769.48
4,49.53,757.73
5,53.17,748.11
6,53.59,739.71
7,54.47,730.86
8,56.94,722.97
9,52.56,715.02
10,59.99,709.06
11,59.84,701.74
12,59.68,694.9
13,61.35,688.31
14,59.92,681.42
15,63.55,676.31
16,63.42,670.56
17,63.41,664.91
18,64.92,660.16
19,64.5,655.38
20,64.7,650.92
21,65.33,646.74
22,64.7,642.92
23,65.08,639.98
24,66.48,636.54
25,63.57,634.36
26,65.82,631.31
27,65.8,629.5
28,67.01,627.69
29,66.08,625.41
30,66.87,623.76
31,66.53,621.79
32,67.52,620.92
33,66.9,619.11
34,67.64,617.83
35,66.82,617.17
36,66.86,615.92
37,68.06,615.44
38,66.73,614.49
39,66.98,613.6
