epoch,training_acc,training_loss,L2
0,34.5,852.18,850.0
1,41.19,813.6,895.0
2,45.14,791.92,933.0
3,49.49,775.71,968.0
4,52.67,764.02,998.0
5,53.45,753.04,1029.0
6,55.92,745.54,1059.0
7,56.26,736.95,1089.0
8,57.68,729.11,1119.0
9,59.68,721.56,1150.0
10,59.68,714.42,1180.0
11,61.23,708.06,1211.0
12,62.99,700.7,1240.0
13,63.2,694.76,1269.0
14,63.44,688.14,1299.0
15,65.48,683.02,1328.0
16,65.82,677.75,1357.0
17,66.94,672.39,1386.0
18,66.93,666.03,1413.0
19,68.13,661.68,1441.0
20,67.57,656.67,1469.0
21,67.46,652.48,1495.0
22,67.29,648.25,1521.0
23,68.78,644.39,1546.0
24,67.95,640.66,1571.0
25,69.49,636.94,1594.0
26,69.68,634.05,1617.0
27,69.38,631.67,1641.0
28,69.65,628.9,1662.0
29,69.72,626.72,1684.0
30,69.54,626.07,1706.0
31,69.78,623.57,1728.0
32,70.1,622.33,1749.0
33,70.43,620.67,1770.0
34,69.77,618.89,1789.0
35,69.86,617.61,1809.0
36,70.24,616.88,1829.0
37,70.01,615.3,1848.0
38,70.48,614.33,1867.0
39,70.51,612.99,1885.0
40,69.54,613.06,1905.0
41,69.42,611.79,1924.0
42,70.72,611.26,1942.0
43,70.34,610.99,1961.0
44,70.02,610.44,1982.0
45,69.93,609.9,2001.0
46,70.81,607.92,2017.0
47,71.28,607.7,2034.0
48,70.94,607.76,2053.0
49,70.25,606.91,2071.0
50,71.18,606.91,2092.0
51,71.06,605.63,2109.0
52,69.78,605.73,2129.0
53,71.49,604.65,2146.0
54,71.1,604.67,2165.0
55,70.52,603.94,2183.0
56,70.66,603.13,2200.0
57,71.66,602.77,2216.0
58,71.0,602.65,2233.0
59,71.18,602.2,2250.0
60,70.22,602.21,2268.0
61,71.26,601.88,2286.0
62,71.23,601.01,2300.0
63,70.84,600.65,2317.0
64,71.83,600.45,2335.0
65,71.46,600.44,2352.0
66,71.66,600.61,2370.0
67,71.26,600.66,2390.0
68,71.78,599.45,2407.0
69,71.69,599.01,2423.0
70,71.89,599.15,2440.0
71,72.09,598.91,2457.0
72,71.27,598.4,2470.0
73,71.21,598.09,2486.0
74,71.63,597.9,2502.0
75,71.57,598.58,2520.0
76,71.96,597.94,2536.0
77,70.81,597.56,2552.0
78,71.23,597.24,2568.0
79,71.8,597.33,2584.0
80,71.35,597.7,2603.0
81,71.9,596.79,2618.0
82,71.27,597.02,2636.0
83,71.88,596.6,2653.0
84,72.15,596.75,2670.0
85,71.55,596.59,2686.0
86,71.77,596.09,2701.0
87,71.83,596.08,2718.0
88,71.49,596.19,2734.0
89,71.84,595.99,2750.0
90,72.02,595.42,2764.0
91,72.41,595.84,2782.0
92,71.81,596.15,2803.0
93,72.1,595.16,2816.0
94,72.02,594.87,2830.0
95,71.97,595.19,2847.0
96,72.03,595.08,2864.0
97,71.15,594.87,2881.0
98,72.01,594.66,2897.0
99,72.65,593.93,2909.0
