epoch,training_acc,training_loss,L2
0,32.86,850.57,858.0
1,42.07,812.07,905.0
2,45.86,791.01,945.0
3,49.6,774.02,982.0
4,50.59,760.58,1015.0
5,52.66,751.88,1048.0
6,55.5,741.9,1079.0
7,57.26,733.79,1111.0
8,58.03,726.28,1144.0
9,59.63,717.98,1175.0
10,60.97,710.65,1207.0
11,60.47,703.13,1239.0
12,62.75,696.39,1272.0
13,63.67,688.87,1304.0
14,64.99,682.78,1336.0
15,65.52,675.95,1366.0
16,65.11,670.68,1397.0
17,66.82,664.47,1427.0
18,66.78,658.63,1455.0
19,67.49,654.2,1483.0
20,67.84,649.91,1510.0
21,67.95,646.34,1538.0
22,67.68,641.7,1563.0
23,68.51,637.44,1588.0
24,68.16,634.94,1613.0
25,68.59,631.74,1637.0
26,68.57,629.28,1660.0
27,68.48,627.57,1683.0
28,68.87,625.66,1706.0
29,69.11,624.08,1727.0
30,68.66,622.36,1749.0
31,69.1,620.67,1771.0
32,68.29,618.79,1790.0
33,69.52,618.51,1811.0
34,68.43,617.16,1833.0
35,69.88,616.42,1855.0
36,68.97,614.75,1875.0
37,69.22,613.7,1893.0
38,69.6,614.04,1915.0
39,68.89,611.68,1933.0
40,68.67,612.84,1956.0
41,69.55,611.59,1978.0
42,69.53,610.63,1996.0
43,69.55,609.81,2015.0
44,70.09,609.14,2033.0
45,69.41,608.76,2052.0
46,69.68,608.67,2072.0
47,70.23,607.07,2089.0
48,69.93,607.69,2109.0
49,69.2,606.44,2127.0
50,69.61,606.19,2145.0
51,69.71,605.85,2165.0
52,69.92,605.82,2184.0
53,69.98,604.84,2201.0
54,69.61,605.69,2224.0
55,70.58,604.33,2242.0
56,70.55,603.77,2259.0
57,70.34,603.56,2276.0
58,70.17,602.83,2294.0
59,70.14,603.3,2314.0
60,70.26,602.84,2332.0
61,70.22,601.31,2347.0
62,70.44,601.9,2365.0
63,70.1,602.62,2389.0
64,70.93,601.14,2404.0
65,69.55,600.6,2420.0
66,70.63,601.17,2440.0
67,69.97,600.54,2457.0
68,70.73,600.21,2476.0
69,70.34,600.34,2495.0
70,70.01,600.47,2514.0
71,70.36,599.98,2532.0
72,70.81,599.67,2550.0
73,70.96,599.15,2565.0
74,70.8,599.08,2582.0
75,70.39,598.65,2599.0
76,70.04,599.03,2618.0
77,71.13,598.56,2634.0
78,71.47,598.51,2651.0
79,71.7,597.71,2665.0
80,70.65,598.42,2684.0
81,70.87,598.43,2704.0
82,71.03,597.94,2722.0
83,69.57,597.16,2739.0
84,71.04,597.93,2757.0
85,70.35,597.48,2774.0
86,70.16,597.62,2793.0
87,70.51,597.16,2810.0
88,70.47,597.31,2828.0
89,71.43,596.68,2843.0
90,70.54,596.89,2862.0
91,71.12,596.59,2879.0
92,71.18,595.74,2893.0
93,69.96,596.44,2910.0
94,70.36,595.8,2925.0
95,70.56,596.3,2945.0
96,71.24,595.6,2962.0
97,71.38,595.14,2977.0
98,71.45,595.55,2995.0
99,71.32,595.6,3014.0
