epoch,training_acc,training_loss,L2
0,3.91,1794.66,856.0
1,5.51,1787.28,870.0
2,6.54,1782.93,884.0
3,6.79,1778.61,897.0
4,7.92,1775.38,908.0
5,8.22,1773.02,919.0
6,9.39,1769.95,929.0
7,9.93,1767.25,939.0
8,10.51,1765.1,949.0
9,10.29,1763.63,959.0
10,10.5,1761.53,968.0
11,11.06,1759.97,979.0
12,11.69,1758.01,988.0
13,11.44,1755.37,997.0
14,12.37,1753.73,1006.0
15,12.46,1752.28,1016.0
16,13.07,1749.67,1024.0
17,12.85,1748.5,1033.0
18,13.3,1746.75,1043.0
19,13.65,1744.37,1050.0
20,13.22,1742.88,1059.0
21,13.8,1742.07,1067.0
22,13.97,1738.98,1076.0
23,14.31,1738.38,1084.0
24,15.03,1736.39,1092.0
25,14.91,1734.64,1100.0
26,15.16,1732.08,1108.0
27,15.05,1731.22,1116.0
28,15.79,1729.4,1124.0
29,15.03,1727.5,1133.0
30,15.23,1726.51,1141.0
31,15.83,1724.08,1149.0
32,15.78,1723.15,1157.0
33,16.18,1721.47,1165.0
34,15.71,1719.74,1173.0
35,16.23,1718.81,1180.0
36,16.32,1717.66,1188.0
37,16.06,1716.0,1196.0
38,15.88,1715.14,1204.0
39,16.56,1714.09,1211.0
40,16.28,1712.56,1218.0
41,16.25,1711.79,1226.0
42,16.93,1710.7,1233.0
43,16.67,1709.49,1241.0
44,16.82,1708.14,1248.0
45,16.72,1706.88,1255.0
46,16.56,1706.04,1262.0
47,16.8,1705.46,1269.0
48,17.2,1704.62,1276.0
49,16.89,1703.58,1283.0
50,16.89,1703.18,1290.0
51,17.22,1701.75,1296.0
52,17.05,1701.18,1304.0
53,17.33,1700.4,1311.0
54,16.99,1699.12,1317.0
55,17.24,1698.2,1323.0
56,17.32,1697.21,1330.0
57,17.36,1695.99,1336.0
58,17.24,1695.69,1344.0
59,17.33,1694.65,1350.0
60,17.54,1693.74,1357.0
61,17.66,1692.72,1365.0
62,17.85,1691.39,1371.0
63,17.5,1690.13,1376.0
64,17.44,1690.3,1383.0
65,17.76,1689.19,1389.0
66,17.99,1688.02,1395.0
67,17.88,1687.28,1401.0
68,18.05,1686.37,1407.0
69,17.88,1685.77,1413.0
70,18.29,1684.93,1419.0
71,18.67,1683.08,1425.0
72,18.8,1682.62,1432.0
73,18.05,1681.22,1437.0
74,18.67,1681.07,1444.0
75,18.19,1680.16,1450.0
76,18.61,1679.08,1456.0
77,18.76,1679.13,1463.0
78,18.56,1677.6,1469.0
79,18.71,1677.33,1475.0
80,19.17,1676.77,1481.0
81,18.88,1676.08,1487.0
82,18.53,1675.58,1493.0
83,18.88,1675.15,1499.0
84,18.92,1674.22,1504.0
85,18.78,1673.12,1509.0
86,18.93,1672.65,1515.0
87,18.94,1672.5,1520.0
88,18.66,1672.13,1527.0
89,19.1,1672.48,1533.0
90,18.88,1671.43,1539.0
91,18.92,1670.15,1543.0
92,18.84,1670.72,1549.0
93,19.21,1669.41,1555.0
94,18.98,1670.14,1561.0
95,18.93,1669.73,1567.0
96,19.33,1668.55,1573.0
97,19.45,1668.25,1578.0
98,19.43,1667.94,1583.0
99,19.03,1667.38,1588.0
