epoch,training_acc,training_loss,L2
0,3.23,1795.71,855.0
1,5.64,1790.2,874.0
2,7.3,1781.95,890.0
3,7.88,1777.01,902.0
4,8.83,1773.86,913.0
5,9.62,1770.29,923.0
6,9.77,1768.17,934.0
7,10.68,1764.78,944.0
8,10.9,1763.26,953.0
9,11.21,1761.85,962.0
10,11.27,1760.16,971.0
11,11.19,1758.0,979.0
12,12.49,1756.85,987.0
13,12.2,1754.77,996.0
14,12.78,1752.95,1004.0
15,12.9,1751.66,1011.0
16,13.29,1748.85,1019.0
17,13.96,1747.92,1028.0
18,14.19,1746.23,1036.0
19,13.7,1744.68,1045.0
20,14.88,1743.5,1053.0
21,15.03,1741.88,1060.0
22,14.81,1740.09,1068.0
23,15.35,1739.23,1076.0
24,15.34,1737.84,1084.0
25,14.9,1735.94,1092.0
26,15.84,1735.61,1100.0
27,15.8,1733.78,1108.0
28,15.78,1733.15,1116.0
29,16.27,1731.28,1123.0
30,16.18,1729.45,1131.0
31,15.8,1728.05,1139.0
32,16.94,1726.92,1146.0
33,17.19,1725.2,1154.0
34,16.84,1724.15,1162.0
35,16.63,1724.14,1170.0
36,17.11,1722.03,1178.0
37,17.44,1720.63,1186.0
38,17.64,1718.36,1193.0
39,17.63,1717.98,1201.0
40,17.3,1717.11,1209.0
41,17.76,1715.31,1216.0
42,18.01,1714.5,1223.0
43,18.24,1712.39,1231.0
44,18.2,1711.19,1238.0
45,17.9,1710.62,1246.0
46,17.79,1710.31,1253.0
47,18.29,1708.68,1260.0
48,17.98,1707.48,1267.0
49,18.58,1706.88,1274.0
50,18.51,1705.82,1282.0
51,18.17,1704.51,1288.0
52,18.11,1704.04,1296.0
53,18.35,1703.22,1303.0
54,18.61,1701.87,1310.0
55,18.21,1701.13,1317.0
56,18.46,1700.21,1324.0
57,18.92,1698.24,1331.0
58,18.78,1698.2,1337.0
59,19.02,1697.06,1344.0
60,18.9,1695.98,1350.0
61,19.04,1695.54,1357.0
62,18.88,1694.35,1364.0
63,18.96,1693.76,1370.0
64,19.18,1693.79,1377.0
65,19.1,1692.29,1383.0
66,19.44,1691.8,1390.0
67,19.52,1690.9,1396.0
68,19.96,1689.6,1403.0
69,19.49,1689.07,1409.0
70,19.77,1688.43,1416.0
71,19.95,1687.15,1422.0
72,19.83,1686.72,1428.0
73,19.79,1685.9,1435.0
74,20.06,1685.17,1441.0
75,20.33,1684.28,1447.0
76,19.83,1683.39,1454.0
77,21.02,1682.53,1461.0
78,20.93,1681.02,1468.0
79,20.83,1679.34,1473.0
80,20.96,1679.22,1480.0
81,21.13,1678.4,1486.0
82,20.81,1676.93,1492.0
83,21.01,1675.72,1497.0
84,21.17,1675.15,1503.0
85,21.23,1674.58,1509.0
86,21.89,1673.17,1516.0
87,21.64,1671.81,1522.0
88,22.26,1671.3,1529.0
89,22.15,1669.76,1535.0
90,21.95,1668.67,1541.0
91,22.28,1667.37,1546.0
92,22.48,1667.14,1552.0
93,22.38,1666.35,1557.0
94,22.35,1665.88,1564.0
95,22.27,1665.11,1570.0
96,22.07,1664.16,1576.0
97,22.46,1663.51,1582.0
98,22.11,1663.26,1588.0
99,22.39,1662.68,1594.0
