epoch,training_acc,training_loss,L2
0,30.59,855.97,844.0
1,37.95,825.16,886.0
2,41.91,802.32,922.0
3,46.54,788.37,954.0
4,47.51,776.24,988.0
5,51.24,765.88,1020.0
6,52.3,755.95,1049.0
7,52.59,746.66,1079.0
8,55.83,738.92,1108.0
9,57.63,731.47,1137.0
10,57.86,723.05,1167.0
11,60.3,717.0,1196.0
12,60.09,709.98,1225.0
13,62.02,704.05,1255.0
14,62.47,697.76,1284.0
15,63.57,692.3,1313.0
16,64.26,686.99,1342.0
17,64.02,681.15,1371.0
18,65.78,675.87,1400.0
19,64.95,670.41,1428.0
20,64.98,665.84,1456.0
21,66.77,661.43,1484.0
22,66.48,656.35,1510.0
23,67.36,652.55,1537.0
24,67.47,648.76,1561.0
25,68.07,644.87,1585.0
26,68.41,641.56,1609.0
27,68.39,639.53,1634.0
28,68.34,635.63,1655.0
29,68.56,633.59,1678.0
30,68.78,630.51,1699.0
31,69.27,628.55,1720.0
32,68.97,627.03,1742.0
33,67.89,625.0,1762.0
34,69.27,623.94,1784.0
35,69.34,623.06,1805.0
36,69.62,621.79,1826.0
37,69.71,620.03,1846.0
38,69.0,618.68,1867.0
39,69.31,617.92,1886.0
40,69.58,616.87,1905.0
41,69.7,615.93,1924.0
42,69.81,615.12,1943.0
43,69.34,614.28,1962.0
44,69.62,612.9,1980.0
45,69.64,612.84,2000.0
46,69.98,611.5,2018.0
47,69.57,610.58,2035.0
48,70.0,611.14,2054.0
49,70.09,611.01,2075.0
50,70.02,610.4,2095.0
51,69.66,608.86,2111.0
52,69.28,608.94,2129.0
53,69.87,609.65,2148.0
54,69.1,607.86,2166.0
55,69.91,608.0,2183.0
56,69.41,606.98,2200.0
57,70.39,606.88,2218.0
58,70.33,606.55,2236.0
59,70.82,605.38,2252.0
60,70.2,605.7,2271.0
61,70.29,604.85,2287.0
62,69.91,605.22,2307.0
63,70.24,604.68,2325.0
64,70.41,603.92,2340.0
65,69.96,603.89,2358.0
66,70.18,603.49,2375.0
67,70.36,603.3,2394.0
68,70.67,602.43,2410.0
69,70.79,602.22,2426.0
70,69.57,602.81,2444.0
71,70.51,601.98,2462.0
72,70.65,601.93,2478.0
73,70.53,602.33,2498.0
74,71.26,601.5,2515.0
75,71.02,600.51,2529.0
76,71.15,600.71,2544.0
77,70.5,600.65,2561.0
78,70.42,600.64,2578.0
79,70.4,600.53,2596.0
80,70.61,599.69,2610.0
81,70.33,600.06,2627.0
82,70.59,600.68,2648.0
83,70.34,599.32,2664.0
84,70.28,598.28,2676.0
85,71.33,599.81,2696.0
86,71.23,599.04,2713.0
87,70.79,598.57,2729.0
88,71.32,598.34,2746.0
89,70.85,598.35,2763.0
90,71.02,598.37,2780.0
91,71.14,598.29,2797.0
92,70.52,597.85,2814.0
93,70.83,597.71,2830.0
94,71.22,597.76,2846.0
95,70.8,597.81,2864.0
96,70.63,596.46,2875.0
97,70.65,597.39,2891.0
98,71.12,597.74,2910.0
99,70.79,596.74,2924.0
