epoch,training_acc,training_loss,L2
0,32.46,858.3,850.0
1,38.03,823.77,892.0
2,44.15,803.79,930.0
3,46.69,783.6,971.0
4,50.81,768.08,1007.0
5,51.83,757.71,1042.0
6,56.09,746.68,1078.0
7,57.23,737.43,1112.0
8,58.66,729.57,1146.0
9,57.99,720.14,1178.0
10,59.51,711.67,1210.0
11,59.89,704.72,1244.0
12,63.6,689.56,1245.0
13,63.7,685.57,1247.0
14,63.93,683.25,1249.0
15,64.08,681.31,1251.0
16,64.02,679.46,1252.0
17,64.0,677.72,1254.0
18,64.65,676.15,1256.0
19,64.41,674.56,1258.0
20,64.61,673.11,1260.0
21,64.26,671.56,1262.0
22,64.62,670.2,1264.0
23,64.64,668.04,1265.0
24,64.76,667.71,1265.0
25,64.69,667.51,1265.0
26,64.7,667.32,1265.0
27,64.63,667.18,1265.0
28,64.68,667.02,1266.0
29,64.64,666.88,1266.0
30,64.7,666.71,1266.0
31,64.63,666.54,1266.0
32,64.58,666.41,1266.0
33,64.67,666.25,1267.0
34,64.67,665.98,1267.0
35,64.71,665.97,1267.0
36,64.65,665.95,1267.0
37,64.65,665.96,1267.0
38,64.65,665.92,1267.0
39,64.65,665.94,1267.0
40,64.65,665.89,1267.0
41,64.62,665.87,1267.0
42,64.66,665.87,1267.0
43,64.67,665.86,1267.0
44,64.65,665.86,1267.0
45,64.65,665.85,1267.0
46,64.64,665.83,1267.0
47,64.65,665.8,1267.0
48,64.65,665.8,1267.0
49,64.65,665.8,1267.0
50,64.64,665.79,1267.0
51,64.64,665.8,1267.0
52,64.63,665.83,1267.0
53,64.64,665.79,1267.0
54,64.64,665.82,1267.0
55,64.64,665.82,1267.0
56,64.64,665.8,1267.0
57,64.64,665.78,1267.0
58,64.64,665.79,1267.0
59,64.64,665.79,1267.0
60,64.64,665.82,1267.0
61,64.64,665.78,1267.0
62,64.64,665.78,1267.0
63,64.64,665.81,1267.0
64,64.64,665.8,1267.0
65,64.64,665.79,1267.0
66,64.64,665.76,1267.0
67,64.64,665.8,1267.0
68,64.64,665.8,1267.0
69,64.64,665.77,1267.0
70,64.64,665.77,1267.0
71,64.64,665.8,1267.0
72,64.64,665.74,1267.0
73,64.64,665.77,1267.0
74,64.64,665.76,1267.0
75,64.64,665.76,1267.0
76,64.64,665.78,1267.0
77,64.64,665.74,1267.0
78,64.64,665.77,1267.0
79,64.64,665.77,1267.0
80,64.64,665.75,1267.0
81,64.64,665.75,1267.0
82,64.64,665.76,1267.0
83,64.64,665.77,1267.0
84,64.64,665.78,1267.0
85,64.64,665.75,1267.0
86,64.64,665.76,1267.0
87,64.64,665.74,1267.0
88,64.63,665.74,1267.0
89,64.63,665.75,1267.0
90,64.63,665.71,1267.0
91,64.64,665.76,1267.0
92,64.63,665.73,1267.0
93,64.63,665.73,1267.0
94,64.63,665.78,1267.0
95,64.63,665.74,1267.0
96,64.63,665.76,1267.0
97,64.63,665.76,1267.0
98,64.63,665.72,1267.0
99,64.63,665.72,1267.0
