epoch,training_acc,training_loss,L2
0,34.04,849.79,851.0
1,41.55,811.09,889.0
2,45.06,792.86,919.0
3,45.4,780.84,949.0
4,49.63,771.1,978.0
5,52.7,759.83,1005.0
6,53.69,750.3,1034.0
7,53.07,743.0,1061.0
8,57.0,734.57,1088.0
9,58.9,726.68,1114.0
10,58.4,720.09,1141.0
11,60.44,713.8,1168.0
12,61.75,707.64,1195.0
13,62.31,701.87,1223.0
14,62.57,695.36,1251.0
15,62.58,689.9,1279.0
16,64.54,683.29,1307.0
17,65.57,678.6,1336.0
18,65.72,672.78,1363.0
19,66.07,668.1,1391.0
20,66.72,663.35,1418.0
21,66.37,659.34,1444.0
22,67.96,655.13,1470.0
23,66.97,650.56,1496.0
24,67.59,646.69,1522.0
25,68.04,642.54,1547.0
26,68.21,639.57,1571.0
27,67.84,637.51,1595.0
28,68.57,633.92,1619.0
29,68.41,631.49,1641.0
30,69.02,628.53,1662.0
31,68.33,627.27,1684.0
32,68.5,625.63,1705.0
33,68.6,623.81,1725.0
34,67.89,623.25,1748.0
35,69.45,621.27,1768.0
36,69.45,620.26,1788.0
37,69.29,618.66,1808.0
38,67.76,618.02,1827.0
39,69.04,617.38,1848.0
40,68.96,616.27,1867.0
41,69.35,615.53,1886.0
42,69.07,614.28,1905.0
43,69.79,614.62,1925.0
44,69.0,612.87,1943.0
45,69.23,612.87,1962.0
46,69.17,611.43,1978.0
47,68.87,611.43,1997.0
48,69.36,610.73,2017.0
49,68.59,610.25,2035.0
50,69.52,610.26,2055.0
51,69.77,609.28,2074.0
52,68.55,608.94,2092.0
53,69.01,609.13,2112.0
54,69.72,608.21,2130.0
55,69.28,607.64,2147.0
56,70.0,607.1,2165.0
57,69.49,606.34,2182.0
58,69.43,607.14,2202.0
59,69.95,605.4,2215.0
60,69.88,605.12,2231.0
61,69.36,605.17,2249.0
62,69.59,605.65,2269.0
63,70.41,604.85,2288.0
64,69.93,604.68,2305.0
65,70.04,603.47,2319.0
66,70.08,604.47,2339.0
67,70.17,604.26,2358.0
68,70.11,602.69,2373.0
69,70.25,602.79,2390.0
70,70.08,603.41,2409.0
71,69.04,602.39,2426.0
72,70.3,601.61,2441.0
73,69.83,602.14,2459.0
74,70.31,601.33,2475.0
75,70.72,601.54,2494.0
76,70.62,601.15,2510.0
77,70.81,601.44,2530.0
78,70.9,600.87,2548.0
79,70.07,600.48,2566.0
80,69.43,600.15,2582.0
81,69.9,600.06,2598.0
82,70.28,599.38,2613.0
83,70.4,599.49,2629.0
84,70.76,599.79,2646.0
85,70.6,599.62,2665.0
86,70.73,598.69,2677.0
87,70.12,598.29,2691.0
88,69.77,598.99,2709.0
89,70.6,598.54,2726.0
90,70.82,598.33,2743.0
91,70.14,598.25,2760.0
92,70.62,598.64,2779.0
93,70.53,598.2,2795.0
94,69.54,598.1,2814.0
95,70.54,597.56,2829.0
96,70.5,597.34,2843.0
97,70.75,597.45,2859.0
98,70.84,596.93,2873.0
99,70.71,597.1,2889.0
