epoch,training_acc,training_loss,L2
0,33.49,858.8,851.0
1,41.21,815.24,898.0
2,44.57,793.11,936.0
3,49.23,778.24,972.0
4,51.22,764.21,1004.0
5,54.21,753.64,1035.0
6,53.93,745.93,1065.0
7,56.52,736.86,1097.0
8,58.95,729.08,1129.0
9,60.0,720.28,1161.0
10,60.44,712.7,1193.0
11,62.76,705.97,1225.0
12,63.26,698.81,1258.0
13,63.99,691.47,1289.0
14,65.28,685.56,1320.0
15,65.57,679.37,1351.0
16,66.16,672.79,1381.0
17,66.96,667.85,1412.0
18,66.7,662.62,1441.0
19,68.11,656.95,1469.0
20,67.34,650.56,1497.0
21,66.27,647.0,1524.0
22,68.25,643.68,1550.0
23,67.68,639.79,1576.0
24,68.85,636.56,1601.0
25,68.77,633.66,1626.0
26,68.81,631.62,1649.0
27,69.39,628.52,1672.0
28,68.69,627.31,1695.0
29,67.6,626.23,1718.0
30,69.28,622.99,1738.0
31,68.8,622.21,1761.0
32,69.47,621.53,1785.0
33,69.41,619.01,1805.0
34,69.75,617.48,1824.0
35,68.99,617.1,1846.0
36,70.07,616.39,1869.0
37,70.28,614.98,1889.0
38,69.13,614.33,1910.0
39,69.39,612.99,1929.0
40,70.3,611.98,1948.0
41,70.09,611.52,1968.0
42,70.86,610.43,1987.0
43,70.21,610.09,2006.0
44,70.7,609.92,2027.0
45,69.73,608.62,2046.0
46,69.64,608.36,2067.0
47,69.75,607.72,2087.0
48,71.29,606.77,2104.0
49,70.91,606.15,2122.0
50,70.16,605.6,2139.0
51,70.46,606.21,2161.0
52,69.59,605.37,2180.0
53,71.18,604.89,2199.0
54,71.0,604.96,2219.0
55,70.38,604.6,2239.0
56,71.34,604.48,2259.0
57,70.7,604.12,2279.0
58,70.7,602.7,2295.0
59,71.26,602.42,2310.0
60,71.03,602.49,2328.0
61,70.28,602.33,2347.0
62,71.03,601.64,2364.0
63,71.69,601.98,2384.0
64,71.38,601.15,2401.0
65,71.19,600.24,2416.0
66,70.57,601.09,2437.0
67,71.48,600.62,2455.0
68,71.0,600.79,2475.0
69,71.42,599.71,2492.0
70,71.7,600.49,2512.0
71,70.66,599.05,2529.0
72,71.49,599.25,2548.0
73,71.4,599.05,2564.0
74,71.2,598.95,2582.0
75,71.28,598.96,2602.0
76,71.62,598.47,2620.0
77,71.8,597.99,2637.0
78,71.56,598.85,2657.0
79,71.8,597.71,2673.0
80,71.25,597.27,2689.0
81,71.0,597.68,2710.0
82,71.38,597.88,2729.0
83,71.53,597.31,2747.0
84,72.04,596.38,2761.0
85,71.57,596.31,2778.0
86,70.63,596.79,2796.0
87,71.45,596.54,2815.0
88,70.95,595.62,2830.0
89,70.94,596.37,2848.0
90,71.88,596.26,2867.0
91,71.44,596.87,2889.0
92,72.11,595.82,2906.0
93,71.16,595.01,2918.0
94,71.52,595.62,2937.0
95,71.11,595.36,2954.0
96,70.79,595.6,2974.0
97,72.09,594.7,2987.0
98,72.0,594.26,3000.0
99,71.46,594.81,3018.0
