epoch,training_acc,training_loss
0,70.98,826.14
1,79.49,749.66
2,82.01,729.62
3,85.68,719.98
4,86.82,711.16
5,91.1,699.02
6,92.61,695.19
7,93.94,694.15
8,93.62,693.09
9,94.4,692.89
10,94.95,692.65
11,94.83,691.88
12,94.53,691.14
13,95.24,690.54
14,95.41,690.04
15,95.56,689.65
16,95.39,689.58
17,95.6,689.45
18,95.86,689.13
19,96.26,689.02
20,95.06,688.89
21,96.12,688.79
22,95.35,688.36
23,95.8,688.41
24,96.22,688.56
25,95.71,688.27
26,95.79,687.99
27,96.46,688.22
28,96.7,688.01
29,96.52,687.82
30,96.27,687.75
31,95.57,687.81
32,95.63,687.7
33,95.98,687.59
34,95.99,687.78
35,96.2,688.1
36,94.84,687.6
37,95.9,687.65
38,95.32,687.4
39,95.03,687.61
