epoch,training_acc,training_loss
0,72.12,806.12
1,73.41,730.89
2,85.07,719.16
3,85.55,713.69
4,90.2,708.57
5,93.2,696.61
6,93.49,695.19
7,93.97,693.31
8,93.95,692.36
9,94.2,691.46
10,94.84,691.03
11,95.22,690.65
12,94.44,690.33
13,95.87,689.9
14,94.48,689.87
15,96.29,688.98
16,95.94,689.17
17,94.76,688.79
18,96.06,688.67
19,96.07,688.65
20,95.93,688.2
21,95.91,688.19
22,95.9,688.34
23,96.05,688.01
24,96.21,687.82
25,96.15,688.05
26,96.72,688.12
27,96.23,687.69
28,95.89,687.4
29,96.12,687.54
30,96.19,687.64
31,96.34,687.52
32,95.7,687.6
33,96.08,687.46
34,96.59,687.52
35,94.75,687.51
36,96.18,687.32
37,95.59,687.5
38,94.77,687.57
39,96.09,687.57
