epoch,training_acc,training_loss
0,69.36,808.45
1,76.64,737.02
2,83.47,721.44
3,85.1,713.19
4,91.69,705.46
5,93.7,695.98
6,94.34,694.35
7,94.26,692.65
8,94.04,692.22
9,94.72,690.99
10,95.78,690.75
11,95.52,689.98
12,94.78,689.71
13,94.91,689.56
14,95.35,689.0
15,95.02,689.1
16,95.62,688.95
17,95.8,688.88
18,95.02,688.39
19,95.78,688.37
20,95.44,688.17
21,95.42,688.19
22,96.44,688.35
23,95.98,688.12
24,96.25,687.78
25,96.26,688.21
26,96.22,687.64
27,96.12,687.87
28,96.1,687.49
29,95.99,687.43
30,96.05,687.43
31,96.33,687.48
32,96.17,687.32
33,96.07,687.24
34,96.23,687.49
35,96.71,687.4
36,95.83,687.44
37,96.05,687.55
38,95.93,687.65
39,95.91,687.58
