epoch,training_acc,training_loss
0,72.99,812.77
1,77.21,733.94
2,83.58,722.62
3,83.91,713.3
4,91.52,701.0
5,93.48,695.9
6,93.91,694.46
7,94.16,693.21
8,95.26,692.68
9,94.77,691.39
10,95.38,690.64
11,95.47,690.29
12,95.53,689.68
13,95.58,689.51
14,95.42,689.3
15,95.81,689.13
16,95.73,688.7
17,96.09,688.87
18,95.5,688.28
19,96.03,688.39
20,95.56,688.05
21,95.8,688.03
22,96.02,687.93
23,95.98,688.02
24,95.78,687.65
25,96.34,687.84
26,96.4,687.77
27,96.43,687.79
28,96.17,687.71
29,96.14,687.73
30,96.26,687.46
31,96.31,687.32
32,96.3,687.4
33,96.75,687.53
34,96.18,687.1
35,96.01,687.42
36,96.52,687.08
37,96.51,687.08
38,96.23,687.03
39,96.6,687.05
