epoch,training_acc,training_loss
0,72.06,805.2
1,80.27,731.42
2,84.54,717.64
3,84.87,713.01
4,91.92,706.46
5,93.68,695.29
6,94.33,693.81
7,93.99,692.45
8,94.92,691.66
9,95.15,691.06
10,95.27,690.26
11,94.68,689.86
12,95.54,689.65
13,95.26,689.87
14,96.07,689.15
15,95.96,688.64
16,95.83,689.0
17,96.11,688.4
18,95.96,688.3
19,95.99,688.1
20,95.99,688.05
21,95.08,688.16
22,95.4,687.84
23,96.23,688.05
24,96.52,687.55
25,96.43,687.85
26,96.7,687.5
27,95.57,687.57
28,96.24,687.52
29,95.87,687.46
30,95.85,687.51
31,95.74,687.35
32,96.01,687.26
33,96.14,687.1
34,96.14,687.41
35,95.62,687.04
36,96.22,687.05
37,96.02,686.88
38,96.36,686.88
39,96.61,687.09
