,epoch,train_loss,accuracy
0,0,5.69,0.112
1,1,4.907,0.133
2,2,4.669,0.155
3,3,4.547,0.172
4,4,4.394,0.194
5,5,4.289,0.216
6,6,4.205,0.216
7,7,4.119,0.232
8,8,4.037,0.233
9,9,4.001,0.238
10,10,3.957,0.244
11,11,3.876,0.25
12,12,3.82,0.244
13,13,3.729,0.254
14,14,3.655,0.265
15,15,3.581,0.263
16,16,3.481,0.283
17,17,3.39,0.292
18,18,3.291,0.309
19,19,3.227,0.311
20,20,3.171,0.33
21,21,3.083,0.335
22,22,3.034,0.338
23,23,2.962,0.344
24,24,2.928,0.343
25,25,2.864,0.339
26,26,2.824,0.348
27,27,2.763,0.355
28,28,2.735,0.36
29,29,2.704,0.364
30,30,2.66,0.367
31,31,2.638,0.372
32,32,2.594,0.369
33,33,2.551,0.371
34,34,2.542,0.376
35,35,2.518,0.377
36,36,2.478,0.373
37,37,2.444,0.373
38,38,2.429,0.376
39,39,2.414,0.37
40,40,2.366,0.374
41,41,2.361,0.371
42,42,2.339,0.369
43,43,2.313,0.372
44,44,2.308,0.377
45,45,2.292,0.379
46,46,2.272,0.366
47,47,2.242,0.372
48,48,2.233,0.375
49,49,2.215,0.374
50,50,2.21,0.373
51,51,2.18,0.375
52,52,2.192,0.377
53,53,2.152,0.381
54,54,2.17,0.377
55,55,2.153,0.381
56,56,2.117,0.377
57,57,2.094,0.381
58,58,2.101,0.38
59,59,2.106,0.379
60,60,2.077,0.387
61,61,2.073,0.387
62,62,2.065,0.376
63,63,2.049,0.377
64,64,2.045,0.382
65,65,1.998,0.379
66,66,2.032,0.373
67,67,2.0,0.378
68,68,2.006,0.376
69,69,1.991,0.382
70,70,1.998,0.387
71,71,1.963,0.378
72,72,1.963,0.383
73,73,1.952,0.373
74,74,1.956,0.375
75,75,1.943,0.38
76,76,1.956,0.375
77,77,1.919,0.385
78,78,1.933,0.378
79,79,1.922,0.382
80,80,1.904,0.383
81,81,1.908,0.39
82,82,1.911,0.39
83,83,1.896,0.387
84,84,1.895,0.384
85,85,1.892,0.38
86,86,1.864,0.386
87,87,1.872,0.388
88,88,1.87,0.383
89,89,1.879,0.382
90,90,1.853,0.38
91,91,1.86,0.385
92,92,1.845,0.384
93,93,1.843,0.388
94,94,1.833,0.382
95,95,1.829,0.387
96,96,1.814,0.383
97,97,1.799,0.379
98,98,1.831,0.378
99,99,1.801,0.385
