,epoch,train_loss,accuracy
0,0,4.726,0.214
1,1,3.895,0.276
2,2,3.384,0.328
3,3,3.041,0.342
4,4,2.847,0.34
5,5,2.689,0.353
6,6,2.597,0.349
7,7,2.517,0.361
8,8,2.456,0.357
9,9,2.379,0.368
10,10,2.375,0.372
11,11,2.321,0.353
12,12,2.119,0.379
13,13,2.069,0.385
14,14,2.03,0.383
15,15,2.005,0.388
16,16,1.991,0.383
17,17,1.961,0.388
18,18,1.95,0.384
19,19,1.938,0.392
20,20,1.938,0.387
21,21,1.935,0.391
22,22,1.906,0.389
23,23,1.89,0.393
24,24,1.88,0.391
25,25,1.886,0.393
26,26,1.895,0.391
27,27,1.87,0.388
28,28,1.898,0.394
29,29,1.902,0.391
30,30,1.875,0.39
31,31,1.861,0.393
32,32,1.871,0.388
33,33,1.886,0.392
34,34,1.869,0.392
35,35,1.856,0.391
36,36,1.857,0.392
37,37,1.872,0.393
38,38,1.87,0.398
39,39,1.861,0.394
40,40,1.863,0.391
41,41,1.875,0.394
42,42,1.878,0.388
43,43,1.861,0.39
44,44,1.862,0.392
45,45,1.875,0.388
46,46,1.87,0.391
47,47,1.865,0.393
48,48,1.858,0.389
49,49,1.86,0.391
50,50,1.849,0.389
51,51,1.878,0.395
52,52,1.879,0.393
53,53,1.863,0.392
54,54,1.874,0.389
55,55,1.866,0.392
56,56,1.87,0.393
57,57,1.866,0.394
58,58,1.87,0.394
59,59,1.861,0.389
60,60,1.86,0.394
61,61,1.852,0.391
62,62,1.853,0.392
63,63,1.838,0.393
64,64,1.896,0.39
65,65,1.851,0.392
66,66,1.852,0.394
67,67,1.851,0.391
68,68,1.869,0.391
69,69,1.866,0.391
70,70,1.87,0.393
71,71,1.855,0.386
72,72,1.864,0.39
73,73,1.869,0.39
74,74,1.863,0.391
75,75,1.865,0.388
76,76,1.854,0.39
77,77,1.866,0.387
78,78,1.86,0.392
79,79,1.867,0.39
80,80,1.868,0.392
81,81,1.848,0.393
82,82,1.852,0.389
83,83,1.86,0.391
84,84,1.866,0.392
85,85,1.886,0.391
86,86,1.873,0.391
87,87,1.876,0.391
88,88,1.873,0.392
89,89,1.872,0.389
90,90,1.851,0.392
91,91,1.873,0.393
92,92,1.868,0.391
93,93,1.867,0.389
94,94,1.865,0.389
95,95,1.861,0.39
96,96,1.863,0.39
97,97,1.856,0.393
98,98,1.863,0.393
99,99,1.85,0.39
