,epoch,train_loss,accuracy
0,0,4.723,0.226
1,1,3.876,0.272
2,2,3.361,0.323
3,3,3.03,0.329
4,4,2.83,0.354
5,5,2.669,0.349
6,6,2.591,0.362
7,7,2.478,0.366
8,8,2.441,0.361
9,9,2.379,0.372
10,10,2.35,0.377
11,11,2.327,0.369
12,12,2.12,0.38
13,13,2.05,0.387
14,14,2.015,0.384
15,15,1.983,0.391
16,16,1.967,0.387
17,17,1.964,0.387
18,18,1.948,0.384
19,19,1.93,0.395
20,20,1.924,0.386
21,21,1.917,0.387
22,22,1.906,0.388
23,23,1.887,0.389
24,24,1.865,0.393
25,25,1.872,0.387
26,26,1.876,0.387
27,27,1.873,0.384
28,28,1.86,0.387
29,29,1.868,0.389
30,30,1.869,0.389
31,31,1.864,0.391
32,32,1.859,0.387
33,33,1.868,0.387
34,34,1.859,0.387
35,35,1.853,0.387
36,36,1.854,0.386
37,37,1.849,0.388
38,38,1.859,0.388
39,39,1.857,0.387
40,40,1.858,0.387
41,41,1.866,0.385
42,42,1.849,0.39
43,43,1.877,0.391
44,44,1.868,0.39
45,45,1.845,0.39
46,46,1.864,0.39
47,47,1.854,0.384
48,48,1.868,0.387
49,49,1.826,0.387
50,50,1.848,0.388
51,51,1.843,0.389
52,52,1.864,0.389
53,53,1.859,0.387
54,54,1.858,0.388
55,55,1.857,0.388
56,56,1.866,0.388
57,57,1.868,0.388
58,58,1.844,0.389
59,59,1.865,0.39
60,60,1.875,0.387
61,61,1.858,0.388
62,62,1.843,0.387
63,63,1.832,0.387
64,64,1.863,0.389
65,65,1.837,0.386
66,66,1.867,0.389
67,67,1.857,0.387
68,68,1.857,0.385
69,69,1.887,0.389
70,70,1.842,0.389
71,71,1.877,0.388
72,72,1.849,0.388
73,73,1.853,0.39
74,74,1.862,0.389
75,75,1.859,0.387
76,76,1.852,0.385
77,77,1.861,0.39
78,78,1.877,0.387
79,79,1.863,0.388
80,80,1.86,0.386
81,81,1.871,0.39
82,82,1.868,0.39
83,83,1.863,0.388
84,84,1.852,0.388
85,85,1.853,0.387
86,86,1.857,0.391
87,87,1.858,0.386
88,88,1.844,0.387
89,89,1.867,0.387
90,90,1.841,0.384
91,91,1.864,0.386
92,92,1.864,0.389
93,93,1.842,0.386
94,94,1.863,0.389
95,95,1.855,0.387
96,96,1.876,0.387
97,97,1.864,0.386
98,98,1.856,0.386
99,99,1.87,0.386
