,epoch,train_loss,accuracy
0,0,5.688,0.112
1,1,4.89,0.162
2,2,4.615,0.176
3,3,4.45,0.2
4,4,4.334,0.214
5,5,4.246,0.222
6,6,4.186,0.222
7,7,4.126,0.225
8,8,4.065,0.231
9,9,4.002,0.243
10,10,3.939,0.239
11,11,3.889,0.25
12,12,3.824,0.246
13,13,3.78,0.255
14,14,3.715,0.256
15,15,3.667,0.262
16,16,3.583,0.266
17,17,3.518,0.269
18,18,3.446,0.277
19,19,3.355,0.292
20,20,3.284,0.29
21,21,3.209,0.31
22,22,3.158,0.319
23,23,3.075,0.321
24,24,3.021,0.325
25,25,2.967,0.327
26,26,2.919,0.338
27,27,2.872,0.346
28,28,2.805,0.346
29,29,2.78,0.355
30,30,2.736,0.358
31,31,2.702,0.356
32,32,2.67,0.361
33,33,2.624,0.36
34,34,2.587,0.366
35,35,2.567,0.37
36,36,2.542,0.37
37,37,2.505,0.371
38,38,2.484,0.366
39,39,2.424,0.37
40,40,2.41,0.375
41,41,2.401,0.372
42,42,2.381,0.375
43,43,2.349,0.369
44,44,2.345,0.367
45,45,2.321,0.376
46,46,2.293,0.378
47,47,2.286,0.375
48,48,2.26,0.376
49,49,2.253,0.375
50,50,2.234,0.376
51,51,2.227,0.384
52,52,2.205,0.379
53,53,2.172,0.376
54,54,2.171,0.377
55,55,2.17,0.38
56,56,2.144,0.381
57,57,2.127,0.377
58,58,2.107,0.383
59,59,2.117,0.378
60,60,2.091,0.379
61,61,2.094,0.385
62,62,2.063,0.377
63,63,2.051,0.381
64,64,2.049,0.382
65,65,2.036,0.384
66,66,2.056,0.384
67,67,2.029,0.386
68,68,2.008,0.381
69,69,2.022,0.38
70,70,1.999,0.381
71,71,2.004,0.381
72,72,1.981,0.383
73,73,1.988,0.373
74,74,1.968,0.374
75,75,1.953,0.38
76,76,1.944,0.384
77,77,1.955,0.38
78,78,1.931,0.384
79,79,1.942,0.385
80,80,1.925,0.379
81,81,1.913,0.387
82,82,1.929,0.379
83,83,1.916,0.379
84,84,1.894,0.384
85,85,1.86,0.383
86,86,1.89,0.378
87,87,1.882,0.386
88,88,1.877,0.381
89,89,1.873,0.377
90,90,1.862,0.38
91,91,1.868,0.382
92,92,1.865,0.396
93,93,1.837,0.384
94,94,1.842,0.376
95,95,1.841,0.378
96,96,1.86,0.387
97,97,1.832,0.388
98,98,1.81,0.379
99,99,1.824,0.389
