epoch,training_acc,training_loss
0,36.51,840.5
1,43.8,800.86
2,47.79,782.61
3,50.58,768.72
4,52.22,754.61
5,54.54,744.47
6,57.83,733.56
7,58.5,725.79
8,60.18,717.64
9,62.21,709.72
10,61.47,702.37
11,63.26,695.37
12,64.28,689.81
13,65.27,682.57
14,65.66,675.93
15,67.1,670.17
16,66.75,664.76
17,67.08,658.72
18,66.26,653.41
19,67.33,648.79
20,68.44,644.84
21,68.94,640.5
22,68.93,637.44
23,67.66,634.58
24,69.06,631.03
25,69.13,628.62
26,69.38,625.84
27,69.41,624.08
28,69.84,622.36
29,69.87,620.77
30,69.94,618.78
31,69.79,618.38
32,70.66,616.88
33,69.9,615.31
34,70.93,615.39
35,70.96,612.51
36,69.95,612.24
37,70.96,611.41
38,70.78,610.9
39,71.71,609.89
