epoch,training_acc,training_loss
0,37.83,839.26
1,43.39,801.91
2,45.8,784.8
3,48.7,769.24
4,52.79,757.08
5,54.67,745.52
6,57.83,737.02
7,59.76,726.69
8,60.46,717.87
9,61.35,710.54
10,63.61,702.56
11,64.58,696.7
12,64.24,688.81
13,65.91,682.94
14,66.61,677.49
15,67.68,670.63
16,67.84,664.81
17,68.72,660.4
18,69.28,653.77
19,69.5,648.96
20,69.62,644.7
21,69.85,641.06
22,70.15,637.24
23,70.73,633.76
24,70.33,630.68
25,70.27,628.24
26,70.29,625.42
27,69.47,623.9
28,71.06,621.87
29,70.87,619.45
30,70.4,618.65
31,70.82,616.54
32,71.12,615.69
33,71.34,613.91
34,71.29,613.52
35,71.41,611.52
36,71.22,611.02
37,70.79,610.39
38,71.27,608.87
39,71.44,608.44
