epoch,training_acc,training_loss
0,34.47,850.24
1,44.44,807.3
2,49.06,780.3
3,52.26,763.71
4,52.83,752.38
5,55.84,741.53
6,58.2,732.05
7,57.71,723.99
8,59.92,714.94
9,61.88,707.1
10,62.37,698.73
11,62.73,691.77
12,64.3,685.65
13,64.44,677.65
14,65.99,671.82
15,66.32,665.67
16,66.69,659.76
17,66.23,653.73
18,67.05,648.54
19,67.51,644.34
20,68.4,640.78
21,68.17,637.29
22,69.02,633.28
23,69.21,630.22
24,68.92,628.77
25,68.61,627.22
26,68.15,625.17
27,68.87,622.5
28,69.79,621.27
29,69.55,619.25
30,69.29,618.03
31,68.75,616.51
32,69.33,615.18
33,69.36,614.46
34,69.26,613.91
35,69.6,612.97
36,69.66,612.08
37,69.86,610.64
38,69.99,609.89
39,69.64,609.52
