epoch,training_acc,training_loss
0,37.24,841.13
1,41.59,798.67
2,48.13,781.8
3,51.55,766.94
4,53.99,754.16
5,53.91,744.34
6,57.06,735.4
7,58.29,727.85
8,58.43,719.8
9,61.24,711.34
10,62.47,704.57
11,63.68,698.47
12,64.36,690.38
13,64.48,685.32
14,65.39,678.48
15,66.36,672.1
16,65.8,665.71
17,67.65,660.29
18,67.92,654.33
19,68.07,650.01
20,68.3,646.17
21,68.48,641.28
22,67.78,637.92
23,68.53,634.56
24,68.32,631.48
25,68.2,629.62
26,69.33,626.72
27,69.0,624.17
28,69.3,622.46
29,69.47,621.55
30,69.74,619.39
31,69.79,618.36
32,69.42,616.96
33,69.99,616.2
34,69.37,614.07
35,70.22,613.73
36,69.92,613.59
37,70.63,611.84
38,70.49,611.3
39,69.96,610.96
