epoch,training_acc,training_loss
0,35.09,847.52
1,44.53,802.36
2,47.05,781.78
3,48.41,765.86
4,53.63,754.26
5,54.51,746.02
6,55.26,738.63
7,56.89,729.89
8,56.55,722.97
9,59.35,715.23
10,60.25,708.31
11,61.42,701.45
12,61.92,694.33
13,62.92,688.44
14,62.67,681.38
15,63.83,674.96
16,63.99,669.59
17,64.37,663.82
18,64.91,658.41
19,65.25,654.07
20,65.52,650.37
21,65.61,645.31
22,65.88,642.86
23,66.26,639.51
24,65.74,636.21
25,66.42,633.31
26,67.25,632.1
27,66.25,629.19
28,66.66,627.54
29,66.81,625.7
30,65.85,625.24
31,66.88,622.89
32,66.7,622.17
33,67.51,620.58
34,67.03,619.16
35,67.13,618.71
36,67.08,618.43
37,67.1,617.71
38,68.42,616.86
39,68.19,614.79
