epoch,training_acc,training_loss
0,95.58,772.14
1,96.91,700.85
2,97.67,696.12
3,98.29,693.59
4,98.71,692.45
5,98.85,691.5
6,98.74,690.56
7,98.85,690.49
8,98.7,689.98
9,98.86,689.27
10,99.14,689.25
11,99.06,688.79
12,99.14,688.31
13,99.34,688.32
14,99.01,688.56
15,99.42,688.52
16,99.25,688.04
17,99.27,687.51
18,99.18,687.83
19,99.29,687.69
20,99.26,687.66
21,99.34,687.39
22,99.36,687.23
23,99.07,687.26
24,99.07,687.66
25,99.21,687.6
26,99.43,687.28
27,99.46,687.02
28,99.17,687.14
29,99.41,687.21
30,99.09,687.07
31,99.5,687.1
32,99.01,687.33
33,99.4,687.59
34,99.48,686.93
35,99.27,686.88
36,99.41,686.99
37,99.41,686.85
38,99.12,686.73
39,99.04,687.34
