epoch,training_acc,training_loss
0,95.12,763.95
1,97.15,703.09
2,97.88,697.4
3,98.25,694.71
4,98.6,693.44
5,98.47,692.33
6,98.72,691.48
7,98.74,690.99
8,98.76,690.36
9,98.61,690.01
10,98.99,690.16
11,98.92,689.6
12,99.1,688.89
13,99.22,689.35
14,99.01,688.8
15,99.25,688.38
16,99.14,688.7
17,99.22,688.38
18,99.29,687.9
19,99.34,688.12
20,99.41,687.57
21,99.12,688.1
22,99.43,687.83
23,99.35,687.46
24,99.46,687.8
25,99.31,687.32
26,99.26,687.23
27,98.97,687.47
28,99.13,687.36
29,99.32,687.53
30,99.08,687.25
31,99.32,687.08
32,99.02,687.09
33,98.95,687.45
34,99.23,687.21
35,99.26,687.69
36,99.11,687.74
37,99.29,686.96
38,99.36,687.24
39,99.37,687.17
