epoch,training_acc,training_loss
0,95.25,761.05
1,97.2,703.32
2,97.99,697.39
3,97.79,694.68
4,98.31,693.49
5,98.84,692.17
6,98.82,691.26
7,99.02,690.67
8,98.61,690.54
9,98.99,689.65
10,98.85,689.61
11,98.78,688.87
12,99.32,689.07
13,99.11,688.54
14,99.29,688.85
15,99.22,688.28
16,98.9,688.23
17,99.27,687.97
18,99.41,687.83
19,99.22,687.51
20,99.06,687.87
21,99.36,687.85
22,99.13,687.48
23,99.45,687.61
24,99.32,687.35
25,99.41,687.21
26,99.35,687.17
27,99.31,687.45
28,99.35,687.1
29,99.25,687.23
30,99.41,687.35
31,99.45,687.29
32,99.37,686.84
33,99.38,686.9
34,99.38,687.2
35,99.16,686.97
36,99.31,686.77
37,99.33,687.31
38,99.4,686.98
39,99.43,686.67
