epoch,training_acc,training_loss
0,95.49,782.3
1,97.81,702.7
2,97.77,695.82
3,98.29,693.4
4,98.7,692.6
5,98.96,691.35
6,98.31,690.69
7,98.77,690.26
8,99.01,689.94
9,99.02,689.69
10,99.08,689.0
11,99.12,688.65
12,99.35,688.53
13,99.2,688.49
14,99.4,688.37
15,99.38,688.08
16,99.36,688.24
17,99.44,687.8
18,99.33,687.8
19,99.31,687.67
20,99.49,687.56
21,99.34,687.72
22,99.12,687.49
23,99.44,687.82
24,99.22,687.03
25,99.43,687.85
26,99.18,687.88
27,99.47,687.29
28,99.27,687.0
29,99.31,687.33
30,99.52,687.02
31,99.47,686.75
32,99.21,687.1
33,99.37,687.11
34,99.25,687.13
35,99.35,687.12
36,99.18,687.09
37,99.14,687.34
38,99.39,687.12
39,99.47,686.82
