epoch,training_acc,training_loss
0,34.07,851.02
1,41.4,814.35
2,45.55,795.04
3,49.09,778.66
4,46.92,765.09
5,50.14,753.37
6,53.63,743.36
7,57.95,734.1
8,60.05,725.85
9,61.13,717.96
10,62.05,711.2
11,62.41,704.52
12,64.14,699.48
13,66.4,692.49
14,66.24,687.25
15,65.45,681.85
16,68.11,677.07
17,67.73,672.4
18,69.69,667.44
19,69.93,663.49
20,70.7,658.32
21,67.5,654.19
22,71.38,650.06
23,69.56,646.07
24,71.07,642.53
25,73.15,638.53
26,72.33,635.39
27,71.43,632.61
28,73.25,629.15
29,73.74,626.69
30,74.3,624.38
31,72.51,622.39
32,72.84,620.27
33,74.32,618.35
34,73.97,616.4
35,73.1,615.41
36,71.58,613.6
37,74.94,612.47
38,74.61,611.23
39,74.57,609.99
