epoch,training_acc,training_loss
0,36.1,844.73
1,40.01,809.5
2,44.96,794.25
3,48.02,780.71
4,51.48,767.9
5,50.46,757.13
6,52.38,747.84
7,54.03,738.91
8,57.41,731.1
9,59.41,723.93
10,61.14,716.47
11,60.09,710.4
12,62.72,703.61
13,63.47,698.58
14,63.72,692.15
15,62.43,685.87
16,62.79,680.45
17,65.31,675.37
18,65.78,670.12
19,65.06,665.12
20,66.15,660.16
21,65.7,655.85
22,64.85,651.32
23,66.35,647.1
24,66.21,643.65
25,67.86,640.33
26,68.96,637.29
27,68.73,634.48
28,69.62,631.69
29,69.01,629.3
30,67.41,627.26
31,69.6,624.89
32,69.66,623.21
33,69.25,621.33
34,70.64,619.55
35,70.75,618.32
36,70.21,616.64
37,69.7,615.52
38,70.48,614.21
39,71.07,613.14
