epoch,training_acc,training_loss
0,30.3,847.57
1,39.17,810.96
2,43.48,794.9
3,46.53,782.44
4,49.93,768.31
5,52.92,759.64
6,53.28,750.38
7,54.2,743.35
8,50.25,735.71
9,58.53,727.94
10,59.61,722.03
11,60.28,715.09
12,61.11,708.63
13,61.36,702.67
14,62.59,696.67
15,63.57,690.82
16,63.37,685.62
17,65.87,681.29
18,66.08,675.15
19,65.24,670.5
20,66.45,666.36
21,66.35,660.89
22,67.95,657.34
23,68.17,653.01
24,61.86,649.22
25,68.83,645.65
26,69.27,641.86
27,67.89,638.47
28,66.96,635.22
29,70.31,632.85
30,69.55,630.05
31,70.02,628.13
32,69.78,625.91
33,69.59,623.94
34,70.22,622.23
35,69.81,620.47
36,70.6,618.9
37,70.58,617.58
38,70.29,616.43
39,70.33,614.97
