epoch,training_acc,training_loss
0,37.64,847.81
1,41.58,807.21
2,45.75,789.02
3,46.84,774.14
4,49.44,762.33
5,53.01,752.8
6,55.43,743.77
7,55.09,736.02
8,58.92,727.95
9,58.86,720.66
10,59.85,714.34
11,56.34,707.06
12,62.68,700.22
13,63.87,695.03
14,64.86,687.71
15,63.57,681.63
16,65.14,676.75
17,64.49,671.94
18,66.76,666.56
19,67.4,661.54
20,66.16,657.16
21,67.87,652.65
22,68.27,648.86
23,68.17,644.37
24,69.27,640.58
25,69.41,637.74
26,69.8,634.3
27,69.66,631.12
28,69.55,629.1
29,69.86,626.21
30,69.91,624.12
31,69.87,622.31
32,70.35,620.05
33,70.64,618.71
34,70.31,616.85
35,71.07,615.54
36,70.84,614.35
37,70.19,613.54
38,71.61,612.04
39,71.51,611.4
