epoch,training_acc,training_loss
0,37.7,844.74
1,43.54,804.62
2,45.67,788.15
3,48.01,774.28
4,51.6,763.16
5,53.38,753.91
6,54.92,745.09
7,54.62,737.54
8,57.49,730.14
9,57.27,723.87
10,59.97,716.33
11,59.09,709.82
12,60.83,703.14
13,62.96,697.3
14,61.3,690.29
15,64.03,684.09
16,63.04,678.8
17,66.05,673.75
18,64.75,668.74
19,66.6,663.99
20,66.98,658.7
21,67.2,654.78
22,68.19,650.71
23,68.71,646.6
24,67.27,643.39
25,68.51,639.72
26,68.49,636.83
27,68.15,633.65
28,68.99,630.92
29,69.38,628.16
30,68.31,626.58
31,69.12,624.02
32,70.18,622.56
33,70.25,621.15
34,69.77,619.28
35,69.86,618.08
36,68.08,617.15
37,70.02,615.52
38,69.96,614.5
39,70.94,613.45
