epoch,training_acc,training_loss
0,37.95,848.3
1,43.67,804.03
2,47.12,783.47
3,50.54,769.24
4,50.65,758.72
5,54.04,749.57
6,53.91,742.36
7,56.65,734.62
8,57.75,727.38
9,58.41,720.83
10,59.82,713.67
11,58.6,707.71
12,62.42,700.52
13,63.47,694.69
14,61.08,688.92
15,64.66,683.36
16,64.7,678.24
17,64.88,672.3
18,64.22,666.71
19,65.81,662.77
20,66.47,657.31
21,66.53,653.55
22,66.03,649.13
23,65.86,646.28
24,67.7,641.57
25,65.64,638.98
26,66.87,635.12
27,67.58,633.24
28,68.49,630.33
29,67.42,628.1
30,67.23,626.93
31,67.73,624.57
32,67.21,622.61
33,67.34,621.26
34,68.66,619.48
35,68.91,618.44
36,69.14,616.84
37,68.94,615.65
38,68.73,615.02
39,68.55,613.93
