epoch,training_acc,training_loss
0,72.16,793.6
1,81.57,727.32
2,89.49,713.97
3,88.43,700.63
4,91.8,697.45
5,92.16,696.23
6,91.87,694.83
7,93.07,693.79
8,93.6,693.08
9,94.4,692.12
10,94.46,691.32
11,94.9,690.5
12,94.62,690.06
13,94.63,689.58
14,95.14,689.64
15,95.16,689.34
16,95.7,689.43
17,95.76,688.87
18,95.72,688.41
19,95.05,688.45
20,95.9,688.46
21,95.63,688.35
22,95.5,688.17
23,95.64,688.26
24,95.95,688.26
25,95.01,688.19
26,96.18,687.83
27,95.95,687.79
28,96.38,687.42
29,95.82,687.61
30,95.55,687.46
31,96.15,687.69
32,96.03,687.46
33,96.35,687.39
34,96.18,687.55
35,96.11,687.35
36,96.15,687.52
37,96.53,687.3
38,95.99,687.54
39,96.31,687.38
