epoch,training_acc,training_loss
0,73.77,786.5
1,82.37,724.7
2,89.64,712.82
3,90.91,700.37
4,92.37,697.62
5,93.13,695.92
6,93.16,694.96
7,94.49,694.04
8,94.16,692.06
9,95.39,691.34
10,95.75,690.15
11,95.09,690.06
12,95.42,689.47
13,95.62,689.36
14,95.66,689.14
15,95.43,688.62
16,94.63,688.6
17,95.94,688.39
18,95.28,688.31
19,95.47,688.07
20,96.27,688.03
21,95.42,687.75
22,95.59,688.09
23,95.75,687.54
24,95.87,687.66
25,96.35,687.62
26,96.22,687.46
27,96.12,687.43
28,95.91,687.67
29,95.87,687.18
30,95.98,687.33
31,96.45,687.35
32,96.17,687.28
33,96.84,687.17
34,95.84,687.45
35,96.08,687.21
36,96.29,686.98
37,96.02,687.35
38,96.18,687.42
39,96.2,686.96
