epoch,training_acc,training_loss
0,73.61,791.16
1,82.08,729.17
2,90.09,714.45
3,91.61,700.05
4,92.49,697.19
5,92.62,695.13
6,93.9,694.47
7,91.95,693.63
8,94.31,693.03
9,94.19,692.36
10,94.74,691.18
11,95.53,690.86
12,94.91,690.06
13,95.17,689.78
14,95.01,689.53
15,95.67,689.41
16,95.28,689.03
17,95.6,688.85
18,95.82,688.61
19,95.85,688.63
20,95.69,688.35
21,95.63,688.51
22,96.02,688.33
23,96.25,688.1
24,95.42,688.19
25,96.13,688.0
26,96.23,687.72
27,96.06,687.85
28,95.85,687.89
29,96.43,687.72
30,95.73,687.82
31,95.29,687.7
32,96.07,687.56
33,96.34,687.45
34,96.02,687.33
35,95.67,687.39
36,96.22,687.48
37,96.12,687.53
38,95.64,687.64
39,96.25,687.29
