epoch,training_acc,training_loss
0,69.57,826.94
1,79.13,739.58
2,85.37,717.62
3,90.58,711.81
4,91.77,698.36
5,92.52,695.94
6,93.58,694.99
7,93.54,693.26
8,93.78,692.51
9,94.53,691.72
10,94.38,691.81
11,94.57,691.17
12,93.9,690.8
13,94.41,691.03
14,94.74,690.71
15,95.83,689.09
16,95.12,688.88
17,95.8,689.58
18,95.84,689.11
19,95.62,688.91
20,95.73,688.66
21,95.68,688.69
22,95.99,688.77
23,96.23,687.95
24,96.34,687.97
25,94.92,688.0
26,94.74,687.88
27,95.96,687.6
28,95.71,687.77
29,94.96,688.11
30,95.99,687.96
31,95.36,688.07
32,95.79,688.03
33,95.16,687.84
34,95.86,688.1
35,96.09,687.84
36,96.04,687.84
37,95.6,687.87
38,96.02,687.0
39,96.27,687.37
