epoch,training_acc,training_loss
0,70.11,813.93
1,81.0,739.78
2,83.09,723.33
3,85.08,715.15
4,85.79,710.39
5,90.97,701.32
6,92.97,695.98
7,93.73,694.83
8,94.31,693.42
9,93.21,692.56
10,94.29,692.28
11,93.76,691.9
12,94.75,691.73
13,94.18,691.5
14,93.87,691.42
15,94.96,690.68
16,94.91,689.48
17,95.31,689.51
18,94.97,689.13
19,95.37,689.05
20,95.91,689.38
21,95.26,688.88
22,95.63,688.98
23,95.48,688.63
24,94.8,688.25
25,95.94,688.73
26,95.77,688.15
27,95.68,688.06
28,95.94,688.13
29,96.01,687.99
30,95.84,687.72
31,94.8,687.78
32,94.34,688.03
33,95.91,688.21
34,95.74,687.75
35,94.44,687.84
36,95.86,687.48
37,95.98,687.23
38,95.94,688.29
39,95.91,688.19
