epoch,training_acc,training_loss
0,67.27,814.08
1,80.0,744.87
2,84.4,724.98
3,85.26,714.54
4,91.45,703.29
5,92.47,697.44
6,93.27,695.58
7,93.92,693.76
8,94.11,693.52
9,93.46,692.49
10,93.53,692.17
11,93.4,691.72
12,94.68,691.6
13,94.64,690.82
14,95.01,690.64
15,94.35,690.48
16,95.02,690.41
17,94.88,690.01
18,95.51,689.64
19,95.52,689.09
20,95.55,688.55
21,94.85,688.51
22,94.7,688.79
23,95.57,688.22
24,96.04,688.31
25,95.52,688.05
26,95.62,688.37
27,95.78,688.18
28,96.37,687.73
29,95.49,687.82
30,96.13,687.76
31,96.01,687.41
32,96.49,687.38
33,95.95,687.6
34,94.15,687.88
35,95.92,687.36
36,95.83,687.5
37,95.8,687.47
38,95.1,687.6
39,96.08,687.47
