epoch,training_acc,training_loss
0,70.21,813.76
1,78.52,740.72
2,83.79,720.36
3,83.42,713.35
4,92.5,703.51
5,92.62,696.78
6,93.68,694.81
7,93.75,693.5
8,94.04,693.28
9,93.49,692.54
10,94.29,692.12
11,93.42,691.66
12,93.83,691.5
13,93.66,690.81
14,94.41,690.79
15,95.15,691.09
16,95.09,689.97
17,95.01,690.06
18,93.89,690.54
19,94.56,690.15
20,94.71,689.85
21,95.48,689.56
22,95.45,689.2
23,95.24,689.63
24,95.41,689.86
25,95.33,689.8
26,95.06,689.74
27,95.5,688.57
28,95.76,688.36
29,95.41,688.42
30,95.17,688.17
31,95.88,687.81
32,95.13,687.59
33,96.07,687.58
34,94.99,688.46
35,95.88,688.3
36,96.21,687.94
37,96.56,687.72
38,96.04,687.53
39,95.71,687.9
