epoch,training_acc,training_loss
0,69.72,816.48
1,79.3,746.18
2,83.15,723.26
3,85.57,713.69
4,91.25,707.22
5,92.63,696.63
6,93.97,695.1
7,93.48,693.59
8,94.19,692.86
9,94.27,692.35
10,94.79,691.73
11,95.54,690.53
12,93.85,690.05
13,94.9,690.11
14,93.71,689.77
15,95.33,689.42
16,95.05,688.92
17,95.58,689.16
18,95.7,688.58
19,95.23,688.39
20,95.58,688.34
21,94.93,688.41
22,96.6,688.26
23,95.75,688.5
24,96.05,688.02
25,96.18,687.9
26,96.35,687.4
27,96.28,687.51
28,94.84,688.05
29,96.38,687.8
30,96.22,687.7
31,96.6,687.43
32,95.99,687.73
33,96.14,687.52
34,96.39,687.42
35,96.53,687.55
36,96.16,687.28
37,95.85,687.77
38,96.22,687.71
39,96.18,687.22
