epoch,training_acc,training_loss
0,67.49,823.45
1,74.0,747.71
2,81.15,732.76
3,85.62,716.89
4,87.71,710.77
5,92.12,697.27
6,93.29,695.64
7,93.47,694.03
8,93.73,692.89
9,93.03,692.81
10,94.5,691.75
11,94.86,691.42
12,94.34,690.53
13,94.11,690.04
14,95.02,689.7
15,95.13,689.36
16,95.21,689.32
17,95.07,688.96
18,95.91,688.81
19,95.46,688.58
20,95.72,688.47
21,95.35,688.5
22,94.96,688.55
23,95.86,688.64
24,96.03,687.92
25,95.67,688.08
26,95.73,688.09
27,96.07,688.0
28,95.75,687.87
29,95.24,687.96
30,96.02,688.04
31,95.61,687.71
32,95.83,687.88
33,95.55,688.25
34,96.05,687.72
35,95.12,687.17
36,96.65,687.55
37,96.29,687.52
38,96.12,687.48
39,95.71,687.65
