,epoch,train_loss,accuracy
0,0,4.69,0.238
1,1,3.791,0.297
2,2,3.302,0.335
3,3,2.979,0.363
4,4,2.806,0.362
5,5,2.669,0.366
6,6,2.582,0.365
7,7,2.491,0.362
8,8,2.445,0.359
9,9,2.41,0.372
10,10,2.347,0.374
11,11,2.323,0.369
12,12,2.096,0.383
13,13,2.068,0.38
14,14,2.026,0.385
15,15,2.007,0.385
16,16,1.963,0.387
17,17,1.941,0.389
18,18,1.949,0.391
19,19,1.928,0.384
20,20,1.924,0.392
21,21,1.902,0.382
22,22,1.893,0.395
23,23,1.892,0.391
24,24,1.878,0.395
25,25,1.874,0.395
26,26,1.873,0.389
27,27,1.856,0.396
28,28,1.875,0.395
29,29,1.884,0.394
30,30,1.876,0.392
31,31,1.854,0.393
32,32,1.855,0.395
33,33,1.852,0.398
34,34,1.886,0.397
35,35,1.846,0.397
36,36,1.878,0.398
37,37,1.855,0.398
38,38,1.876,0.397
39,39,1.868,0.397
40,40,1.856,0.399
41,41,1.86,0.402
42,42,1.861,0.4
43,43,1.85,0.4
44,44,1.861,0.398
45,45,1.86,0.397
46,46,1.87,0.396
47,47,1.848,0.397
48,48,1.845,0.399
49,49,1.855,0.399
50,50,1.847,0.397
51,51,1.861,0.401
52,52,1.858,0.397
53,53,1.858,0.398
54,54,1.86,0.396
55,55,1.857,0.399
56,56,1.863,0.402
57,57,1.885,0.398
58,58,1.858,0.399
59,59,1.863,0.401
60,60,1.857,0.399
61,61,1.864,0.394
62,62,1.856,0.4
63,63,1.858,0.396
64,64,1.863,0.4
65,65,1.858,0.399
66,66,1.852,0.394
67,67,1.869,0.397
68,68,1.839,0.396
69,69,1.85,0.4
70,70,1.861,0.396
71,71,1.845,0.4
72,72,1.852,0.399
73,73,1.844,0.4
74,74,1.863,0.402
75,75,1.846,0.398
76,76,1.878,0.4
77,77,1.854,0.395
78,78,1.862,0.394
79,79,1.859,0.395
80,80,1.846,0.399
81,81,1.854,0.399
82,82,1.868,0.394
83,83,1.853,0.398
84,84,1.856,0.396
85,85,1.866,0.401
86,86,1.857,0.398
87,87,1.868,0.398
88,88,1.836,0.398
89,89,1.862,0.396
90,90,1.839,0.396
91,91,1.852,0.396
92,92,1.867,0.397
93,93,1.867,0.398
94,94,1.845,0.399
95,95,1.867,0.399
96,96,1.862,0.398
97,97,1.855,0.398
98,98,1.86,0.398
99,99,1.865,0.397
