,epoch,train_loss,accuracy
0,0,4.698,0.229
1,1,3.797,0.276
2,2,3.324,0.333
3,3,3.005,0.352
4,4,2.806,0.345
5,5,2.667,0.355
6,6,2.575,0.364
7,7,2.502,0.368
8,8,2.46,0.362
9,9,2.379,0.368
10,10,2.358,0.364
11,11,2.316,0.373
12,12,2.144,0.388
13,13,2.037,0.392
14,14,2.024,0.389
15,15,1.999,0.386
16,16,1.972,0.39
17,17,1.946,0.39
18,18,1.936,0.391
19,19,1.933,0.382
20,20,1.916,0.386
21,21,1.928,0.383
22,22,1.907,0.388
23,23,1.87,0.393
24,24,1.873,0.387
25,25,1.86,0.39
26,26,1.876,0.39
27,27,1.871,0.39
28,28,1.886,0.388
29,29,1.872,0.391
30,30,1.881,0.389
31,31,1.87,0.393
32,32,1.874,0.389
33,33,1.866,0.388
34,34,1.871,0.39
35,35,1.865,0.391
36,36,1.856,0.388
37,37,1.86,0.388
38,38,1.865,0.39
39,39,1.873,0.389
40,40,1.873,0.391
41,41,1.86,0.388
42,42,1.859,0.389
43,43,1.866,0.391
44,44,1.845,0.39
45,45,1.853,0.387
46,46,1.868,0.388
47,47,1.855,0.389
48,48,1.863,0.392
49,49,1.859,0.389
50,50,1.86,0.391
51,51,1.884,0.389
52,52,1.855,0.388
53,53,1.871,0.389
54,54,1.866,0.388
55,55,1.842,0.388
56,56,1.862,0.396
57,57,1.857,0.395
58,58,1.853,0.389
59,59,1.845,0.387
60,60,1.858,0.39
61,61,1.86,0.39
62,62,1.867,0.389
63,63,1.854,0.39
64,64,1.861,0.391
65,65,1.848,0.386
66,66,1.853,0.389
67,67,1.838,0.393
68,68,1.849,0.389
69,69,1.853,0.388
70,70,1.865,0.389
71,71,1.856,0.389
72,72,1.864,0.395
73,73,1.849,0.393
74,74,1.872,0.392
75,75,1.849,0.387
76,76,1.873,0.391
77,77,1.87,0.391
78,78,1.86,0.392
79,79,1.87,0.391
80,80,1.867,0.387
81,81,1.85,0.388
82,82,1.843,0.39
83,83,1.864,0.387
84,84,1.861,0.393
85,85,1.848,0.393
86,86,1.881,0.391
87,87,1.875,0.386
88,88,1.844,0.388
89,89,1.862,0.387
90,90,1.86,0.391
91,91,1.868,0.389
92,92,1.867,0.388
93,93,1.88,0.39
94,94,1.876,0.389
95,95,1.883,0.389
96,96,1.864,0.392
97,97,1.864,0.395
98,98,1.86,0.39
99,99,1.848,0.388
