,epoch,train_loss,accuracy
0,0,4.687,0.217
1,1,3.786,0.29
2,2,3.283,0.346
3,3,2.983,0.355
4,4,2.822,0.343
5,5,2.671,0.364
6,6,2.574,0.363
7,7,2.52,0.362
8,8,2.437,0.377
9,9,2.398,0.375
10,10,2.34,0.374
11,11,2.302,0.366
12,12,2.113,0.383
13,13,2.035,0.387
14,14,2.013,0.393
15,15,1.989,0.392
16,16,1.962,0.39
17,17,1.978,0.392
18,18,1.935,0.387
19,19,1.929,0.391
20,20,1.92,0.399
21,21,1.914,0.392
22,22,1.917,0.398
23,23,1.881,0.396
24,24,1.876,0.394
25,25,1.855,0.396
26,26,1.875,0.4
27,27,1.871,0.403
28,28,1.862,0.4
29,29,1.861,0.399
30,30,1.905,0.4
31,31,1.854,0.404
32,32,1.867,0.399
33,33,1.865,0.4
34,34,1.858,0.397
35,35,1.851,0.401
36,36,1.834,0.401
37,37,1.859,0.4
38,38,1.853,0.404
39,39,1.839,0.403
40,40,1.857,0.401
41,41,1.871,0.403
42,42,1.844,0.4
43,43,1.838,0.399
44,44,1.85,0.4
45,45,1.871,0.402
46,46,1.849,0.401
47,47,1.864,0.403
48,48,1.847,0.402
49,49,1.838,0.4
50,50,1.851,0.402
51,51,1.85,0.401
52,52,1.856,0.401
53,53,1.837,0.397
54,54,1.845,0.4
55,55,1.848,0.4
56,56,1.843,0.402
57,57,1.843,0.398
58,58,1.857,0.399
59,59,1.858,0.403
60,60,1.858,0.4
61,61,1.857,0.4
62,62,1.847,0.401
63,63,1.844,0.402
64,64,1.857,0.398
65,65,1.862,0.394
66,66,1.862,0.402
67,67,1.859,0.401
68,68,1.855,0.399
69,69,1.84,0.398
70,70,1.853,0.402
71,71,1.857,0.401
72,72,1.847,0.399
73,73,1.851,0.399
74,74,1.851,0.401
75,75,1.86,0.4
76,76,1.863,0.4
77,77,1.844,0.4
78,78,1.851,0.4
79,79,1.849,0.401
80,80,1.839,0.401
81,81,1.867,0.401
82,82,1.851,0.399
83,83,1.855,0.402
84,84,1.857,0.399
85,85,1.855,0.4
86,86,1.876,0.4
87,87,1.846,0.401
88,88,1.857,0.4
89,89,1.868,0.399
90,90,1.85,0.403
91,91,1.859,0.402
92,92,1.851,0.401
93,93,1.845,0.401
94,94,1.84,0.402
95,95,1.836,0.402
96,96,1.856,0.401
97,97,1.859,0.405
98,98,1.856,0.402
99,99,1.842,0.401
