,epoch,train_loss,accuracy
0,0,4.723,0.218
1,1,3.881,0.26
2,2,3.402,0.322
3,3,3.076,0.339
4,4,2.847,0.356
5,5,2.681,0.359
6,6,2.604,0.353
7,7,2.509,0.364
8,8,2.466,0.359
9,9,2.394,0.373
10,10,2.33,0.369
11,11,2.332,0.366
12,12,2.127,0.383
13,13,2.054,0.382
14,14,2.019,0.382
15,15,1.995,0.377
16,16,1.98,0.38
17,17,1.968,0.379
18,18,1.96,0.383
19,19,1.941,0.385
20,20,1.955,0.39
21,21,1.923,0.386
22,22,1.902,0.389
23,23,1.877,0.392
24,24,1.878,0.393
25,25,1.871,0.394
26,26,1.884,0.391
27,27,1.875,0.389
28,28,1.869,0.392
29,29,1.878,0.391
30,30,1.875,0.389
31,31,1.885,0.391
32,32,1.886,0.392
33,33,1.854,0.389
34,34,1.883,0.389
35,35,1.868,0.392
36,36,1.864,0.387
37,37,1.862,0.391
38,38,1.864,0.39
39,39,1.852,0.394
40,40,1.851,0.39
41,41,1.873,0.393
42,42,1.857,0.392
43,43,1.864,0.392
44,44,1.89,0.391
45,45,1.875,0.389
46,46,1.868,0.393
47,47,1.871,0.391
48,48,1.886,0.391
49,49,1.871,0.39
50,50,1.871,0.391
51,51,1.862,0.39
52,52,1.871,0.39
53,53,1.855,0.389
54,54,1.862,0.392
55,55,1.867,0.39
56,56,1.878,0.392
57,57,1.866,0.391
58,58,1.858,0.388
59,59,1.863,0.39
60,60,1.865,0.391
61,61,1.861,0.39
62,62,1.872,0.392
63,63,1.839,0.389
64,64,1.858,0.393
65,65,1.857,0.39
66,66,1.885,0.392
67,67,1.88,0.391
68,68,1.867,0.392
69,69,1.864,0.392
70,70,1.875,0.392
71,71,1.867,0.393
72,72,1.865,0.393
73,73,1.849,0.39
74,74,1.862,0.389
75,75,1.866,0.392
76,76,1.876,0.39
77,77,1.861,0.394
78,78,1.873,0.39
79,79,1.865,0.395
80,80,1.856,0.39
81,81,1.883,0.393
82,82,1.867,0.392
83,83,1.863,0.388
84,84,1.876,0.388
85,85,1.883,0.392
86,86,1.867,0.39
87,87,1.868,0.391
88,88,1.862,0.389
89,89,1.87,0.389
90,90,1.873,0.389
91,91,1.871,0.389
92,92,1.864,0.392
93,93,1.89,0.392
94,94,1.873,0.393
95,95,1.864,0.392
96,96,1.849,0.393
97,97,1.878,0.393
98,98,1.86,0.391
99,99,1.87,0.388
