,epoch,train_loss,accuracy
0,0,4.776,0.226
1,1,3.854,0.284
2,2,3.339,0.326
3,3,3.019,0.334
4,4,2.832,0.341
5,5,2.701,0.353
6,6,2.604,0.375
7,7,2.519,0.349
8,8,2.464,0.367
9,9,2.415,0.366
10,10,2.363,0.362
11,11,2.335,0.368
12,12,2.127,0.384
13,13,2.059,0.391
14,14,2.016,0.388
15,15,1.995,0.387
16,16,1.996,0.387
17,17,1.968,0.38
18,18,1.963,0.387
19,19,1.946,0.393
20,20,1.917,0.391
21,21,1.915,0.392
22,22,1.916,0.388
23,23,1.886,0.392
24,24,1.887,0.393
25,25,1.886,0.389
26,26,1.867,0.39
27,27,1.866,0.393
28,28,1.877,0.39
29,29,1.885,0.387
30,30,1.862,0.393
31,31,1.863,0.391
32,32,1.878,0.391
33,33,1.858,0.392
34,34,1.862,0.391
35,35,1.869,0.39
36,36,1.867,0.393
37,37,1.854,0.393
38,38,1.843,0.391
39,39,1.858,0.393
40,40,1.858,0.394
41,41,1.866,0.393
42,42,1.859,0.393
43,43,1.86,0.391
44,44,1.873,0.394
45,45,1.843,0.393
46,46,1.853,0.395
47,47,1.861,0.395
48,48,1.877,0.394
49,49,1.86,0.39
50,50,1.853,0.394
51,51,1.874,0.391
52,52,1.864,0.393
53,53,1.868,0.395
54,54,1.864,0.394
55,55,1.859,0.394
56,56,1.848,0.391
57,57,1.874,0.395
58,58,1.853,0.393
59,59,1.857,0.395
60,60,1.853,0.396
61,61,1.865,0.392
62,62,1.857,0.394
63,63,1.863,0.395
64,64,1.868,0.396
65,65,1.871,0.391
66,66,1.85,0.391
67,67,1.87,0.391
68,68,1.867,0.396
69,69,1.864,0.394
70,70,1.857,0.39
71,71,1.847,0.395
72,72,1.846,0.392
73,73,1.877,0.394
74,74,1.866,0.39
75,75,1.849,0.393
76,76,1.871,0.392
77,77,1.849,0.39
78,78,1.874,0.392
79,79,1.85,0.393
80,80,1.859,0.393
81,81,1.874,0.395
82,82,1.876,0.392
83,83,1.846,0.39
84,84,1.859,0.391
85,85,1.871,0.39
86,86,1.85,0.392
87,87,1.861,0.392
88,88,1.884,0.394
89,89,1.838,0.393
90,90,1.853,0.392
91,91,1.858,0.396
92,92,1.864,0.397
93,93,1.861,0.392
94,94,1.843,0.394
95,95,1.859,0.395
96,96,1.845,0.393
97,97,1.849,0.393
98,98,1.843,0.39
99,99,1.85,0.389
