,epoch,train_loss,accuracy
0,0,4.729,0.233
1,1,3.724,0.313
2,2,3.246,0.346
3,3,2.962,0.355
4,4,2.798,0.364
5,5,2.693,0.369
6,6,2.571,0.362
7,7,2.51,0.37
8,8,2.444,0.388
9,9,2.395,0.379
10,10,2.36,0.377
11,11,2.311,0.362
12,12,2.125,0.386
13,13,2.054,0.394
14,14,2.004,0.399
15,15,2.007,0.397
16,16,1.966,0.394
17,17,1.964,0.396
18,18,1.941,0.405
19,19,1.929,0.4
20,20,1.947,0.395
21,21,1.884,0.399
22,22,1.918,0.397
23,23,1.885,0.396
24,24,1.879,0.4
25,25,1.877,0.398
26,26,1.872,0.399
27,27,1.885,0.4
28,28,1.865,0.4
29,29,1.869,0.401
30,30,1.872,0.401
31,31,1.85,0.403
32,32,1.871,0.403
33,33,1.869,0.402
34,34,1.85,0.402
35,35,1.87,0.403
36,36,1.872,0.404
37,37,1.86,0.401
38,38,1.861,0.403
39,39,1.853,0.404
40,40,1.86,0.403
41,41,1.854,0.403
42,42,1.866,0.402
43,43,1.844,0.406
44,44,1.866,0.403
45,45,1.858,0.406
46,46,1.857,0.401
47,47,1.845,0.407
48,48,1.863,0.403
49,49,1.848,0.403
50,50,1.861,0.404
51,51,1.864,0.404
52,52,1.874,0.402
53,53,1.872,0.404
54,54,1.865,0.401
55,55,1.879,0.403
56,56,1.856,0.403
57,57,1.874,0.401
58,58,1.857,0.402
59,59,1.866,0.402
60,60,1.864,0.401
61,61,1.859,0.402
62,62,1.847,0.403
63,63,1.851,0.402
64,64,1.833,0.404
65,65,1.865,0.404
66,66,1.865,0.402
67,67,1.861,0.402
68,68,1.858,0.402
69,69,1.85,0.402
70,70,1.864,0.401
71,71,1.862,0.401
72,72,1.844,0.403
73,73,1.86,0.401
74,74,1.853,0.402
75,75,1.859,0.405
76,76,1.836,0.402
77,77,1.865,0.402
78,78,1.851,0.4
79,79,1.872,0.402
80,80,1.87,0.403
81,81,1.861,0.403
82,82,1.847,0.402
83,83,1.862,0.402
84,84,1.847,0.401
85,85,1.845,0.401
86,86,1.861,0.401
87,87,1.846,0.403
88,88,1.847,0.402
89,89,1.865,0.403
90,90,1.854,0.403
91,91,1.864,0.403
92,92,1.843,0.403
93,93,1.839,0.401
94,94,1.84,0.401
95,95,1.858,0.403
96,96,1.844,0.403
97,97,1.856,0.402
98,98,1.864,0.404
99,99,1.87,0.403
