epoch,training_acc,training_loss,L2
0,34.25,865.12,851.0
1,42.58,832.5,897.0
2,46.62,813.8,937.0
3,49.36,803.12,973.0
4,52.78,792.77,1007.0
5,52.29,783.75,1039.0
6,57.17,777.34,1072.0
7,57.96,769.05,1104.0
8,59.08,762.72,1136.0
9,60.76,755.58,1167.0
10,61.57,750.88,1200.0
11,64.24,744.13,1233.0
12,64.86,738.35,1265.0
13,65.03,732.97,1297.0
14,65.54,728.18,1330.0
15,65.95,722.08,1361.0
16,67.0,717.56,1393.0
17,66.9,713.47,1423.0
18,68.4,708.88,1453.0
19,69.44,705.19,1483.0
20,69.0,701.43,1511.0
21,69.82,698.1,1538.0
22,69.65,694.4,1563.0
23,68.02,691.86,1588.0
24,70.88,689.87,1613.0
25,69.86,687.49,1637.0
26,70.35,685.26,1660.0
27,70.84,684.48,1685.0
28,70.06,682.34,1708.0
29,70.85,681.13,1731.0
30,70.99,679.42,1753.0
31,70.38,678.76,1777.0
32,71.45,676.88,1797.0
33,71.32,676.58,1819.0
34,70.75,675.22,1839.0
35,70.43,674.45,1859.0
36,72.07,673.48,1879.0
37,71.11,673.18,1900.0
38,70.27,673.04,1923.0
39,71.48,672.26,1943.0
40,71.81,671.83,1965.0
41,70.52,670.65,1984.0
42,71.88,671.01,2006.0
43,72.44,669.53,2024.0
44,71.01,669.66,2043.0
45,71.62,668.85,2062.0
46,71.15,668.31,2079.0
47,71.08,668.08,2097.0
48,70.93,668.76,2121.0
49,72.14,667.58,2140.0
50,71.88,667.07,2158.0
51,71.74,666.76,2177.0
52,71.04,666.48,2195.0
53,71.67,666.65,2213.0
54,71.81,666.53,2234.0
55,71.8,665.59,2253.0
56,71.96,665.27,2270.0
57,71.72,665.41,2289.0
58,71.53,664.35,2304.0
59,71.84,664.93,2326.0
60,71.44,664.97,2348.0
61,71.82,664.26,2367.0
62,71.96,664.31,2385.0
63,71.95,663.71,2401.0
64,72.54,663.76,2421.0
65,72.59,663.9,2440.0
66,72.63,663.92,2460.0
67,72.85,662.52,2475.0
68,72.48,662.48,2490.0
69,72.48,662.47,2508.0
70,71.82,662.76,2529.0
71,71.91,662.69,2548.0
72,72.8,662.19,2564.0
73,72.47,661.95,2581.0
74,71.5,661.84,2599.0
75,72.66,662.36,2618.0
76,73.14,661.39,2633.0
77,72.78,661.41,2650.0
78,73.07,661.34,2667.0
79,72.27,661.86,2688.0
80,72.15,661.28,2706.0
81,72.46,661.23,2724.0
82,73.29,660.65,2740.0
83,72.66,660.17,2755.0
84,72.43,660.43,2771.0
85,72.1,660.77,2790.0
86,72.95,661.01,2812.0
87,73.15,660.24,2828.0
88,72.26,659.69,2841.0
89,72.4,660.52,2859.0
90,72.46,660.1,2878.0
91,72.72,660.21,2899.0
92,72.25,659.86,2915.0
93,72.07,660.34,2937.0
94,72.7,659.71,2953.0
95,73.34,658.98,2966.0
96,73.02,659.31,2983.0
97,70.93,659.78,3006.0
98,72.87,659.19,3022.0
99,71.46,659.03,3039.0
