epoch,training_acc,training_loss,L2
0,36.84,858.19,850.0
1,41.97,828.65,876.0
2,43.63,817.15,902.0
3,48.56,806.68,929.0
4,51.22,799.23,955.0
5,52.11,790.82,981.0
6,55.23,784.45,1007.0
7,54.57,777.32,1035.0
8,58.55,771.0,1062.0
9,58.6,764.91,1090.0
10,58.98,758.73,1118.0
11,60.79,752.92,1147.0
12,63.21,747.86,1176.0
13,64.73,741.3,1206.0
14,65.35,737.93,1236.0
15,65.4,731.67,1264.0
16,65.1,727.97,1292.0
17,66.07,722.53,1321.0
18,67.7,718.11,1349.0
19,67.72,714.44,1378.0
20,69.19,710.48,1405.0
21,69.08,707.01,1431.0
22,69.2,703.23,1456.0
23,69.07,699.83,1481.0
24,69.55,696.7,1505.0
25,69.69,693.77,1529.0
26,70.23,692.95,1554.0
27,70.7,689.81,1578.0
28,71.08,687.73,1600.0
29,70.54,685.13,1620.0
30,70.36,684.04,1641.0
31,71.23,683.16,1663.0
32,71.45,681.28,1683.0
33,71.5,680.13,1703.0
34,71.42,679.12,1723.0
35,70.78,677.75,1742.0
36,71.29,678.02,1764.0
37,71.01,676.24,1782.0
38,70.87,675.66,1802.0
39,71.61,674.86,1820.0
40,71.54,674.23,1839.0
41,71.95,674.01,1859.0
42,72.45,673.15,1877.0
43,71.2,672.26,1893.0
44,71.61,672.14,1912.0
45,71.96,671.91,1933.0
46,72.13,670.73,1949.0
47,71.8,670.53,1968.0
48,71.6,669.9,1987.0
49,71.95,669.8,2005.0
50,71.96,668.85,2022.0
51,71.98,668.9,2041.0
52,71.88,668.51,2060.0
53,72.55,667.98,2077.0
54,71.84,667.42,2094.0
55,73.46,667.32,2111.0
56,70.49,666.77,2127.0
57,72.97,667.66,2148.0
58,72.19,666.6,2166.0
59,72.21,666.49,2183.0
60,72.94,666.42,2201.0
61,72.43,666.1,2218.0
62,72.52,666.23,2237.0
63,72.37,665.12,2253.0
64,71.97,665.42,2271.0
65,72.69,664.68,2287.0
66,73.7,664.47,2302.0
67,73.16,664.03,2318.0
68,72.96,664.33,2336.0
69,72.75,663.88,2351.0
70,72.65,664.01,2369.0
71,73.11,663.37,2383.0
72,73.15,663.05,2399.0
73,72.8,663.34,2419.0
74,72.59,663.61,2439.0
75,73.0,662.72,2454.0
76,72.47,662.24,2468.0
77,72.8,662.39,2484.0
78,73.2,661.67,2499.0
79,72.64,662.08,2517.0
80,71.5,662.49,2535.0
81,73.29,661.96,2551.0
82,73.93,661.56,2567.0
83,73.26,661.08,2581.0
84,72.33,661.06,2596.0
85,72.39,661.15,2612.0
86,72.91,661.26,2628.0
87,72.8,661.19,2645.0
88,72.51,661.23,2664.0
89,71.99,661.45,2685.0
90,73.37,660.84,2701.0
91,73.14,660.44,2714.0
92,72.54,660.67,2732.0
93,73.1,660.44,2748.0
94,72.94,660.26,2762.0
95,73.45,660.02,2776.0
96,72.83,660.29,2792.0
97,73.35,660.46,2810.0
98,73.35,659.94,2826.0
99,73.56,659.61,2840.0
