epoch,training_acc,training_loss
0,97.36,740.7
1,97.65,696.96
2,98.67,693.96
3,98.52,692.27
4,99.0,691.32
5,98.95,690.46
6,98.88,689.59
7,99.11,689.4
8,98.88,688.93
9,99.25,688.71
10,98.68,688.51
11,99.39,688.65
12,99.39,688.03
13,98.64,688.25
14,99.15,688.38
15,98.56,688.15
16,99.32,688.29
17,99.26,688.07
18,99.3,687.84
19,99.16,687.85
20,99.46,687.89
21,99.38,687.79
22,99.42,687.38
23,99.24,687.45
24,98.82,687.48
25,99.44,687.45
26,99.14,687.9
27,99.16,687.68
28,99.22,687.42
29,99.37,687.27
30,99.3,687.28
31,99.46,687.51
32,99.17,687.41
33,99.47,687.43
34,99.31,687.2
35,99.42,687.55
36,99.51,687.34
37,99.44,687.16
38,99.34,687.42
39,99.41,687.86
