epoch,training_acc,training_loss
0,95.04,745.17
1,98.06,699.93
2,97.93,695.42
3,98.45,693.15
4,98.7,692.35
5,98.94,691.06
6,98.85,690.44
7,99.09,689.89
8,98.8,689.66
9,99.32,689.3
10,99.18,688.93
11,98.61,688.62
12,99.1,688.34
13,99.07,688.23
14,99.3,687.88
15,99.42,687.95
16,99.34,687.8
17,99.47,687.59
18,99.2,687.62
19,99.07,687.58
20,99.3,687.49
21,99.33,687.54
22,99.23,687.54
23,99.0,687.31
24,99.32,687.57
25,99.36,687.29
26,99.09,687.32
27,99.29,687.1
28,99.25,687.11
29,99.51,687.17
30,99.33,686.96
31,99.22,687.0
32,99.34,687.11
33,99.32,687.05
34,99.32,687.18
35,99.3,687.17
36,99.25,687.01
37,99.24,686.88
38,99.38,686.98
39,99.32,687.03
